October 2021 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,68.2,3.6,114,64.6
AL-003,Baldwin County,Alabama,71,3,112,68
AL-005,Barbour County,Alabama,68.3,2.7,110,65.6
AL-007,Bibb County,Alabama,66.2,2.6,106,63.6
AL-009,Blount County,Alabama,65.9,4.4,119,61.5
AL-011,Bullock County,Alabama,67.9,2.9,111,65
AL-013,Butler County,Alabama,69.1,3.8,116,65.3
AL-015,Calhoun County,Alabama,65.6,4,116,61.6
AL-017,Chambers County,Alabama,65,2.6,108,62.4
AL-019,Cherokee County,Alabama,65.1,3.7,115,61.4
AL-021,Chilton County,Alabama,66.1,2.7,109,63.4
AL-023,Choctaw County,Alabama,68.9,4,118,64.9
AL-025,Clarke County,Alabama,69.8,4.3,121,65.5
AL-027,Clay County,Alabama,64.9,3.5,111,61.4
AL-029,Cleburne County,Alabama,64.5,3.9,115,60.6
AL-031,Coffee County,Alabama,69.5,3.2,115,66.3
AL-033,Colbert County,Alabama,65.7,5,123,60.7
AL-035,Conecuh County,Alabama,70,3.9,115,66.1
AL-037,Coosa County,Alabama,66,2.9,110,63.1
AL-039,Covington County,Alabama,69.5,3.1,113,66.4
AL-041,Crenshaw County,Alabama,68.8,3.5,117,65.3
AL-043,Cullman County,Alabama,65.5,4.3,118,61.2
AL-045,Dale County,Alabama,69.7,3.2,113,66.5
AL-047,Dallas County,Alabama,68.7,3.7,114,65
AL-049,DeKalb County,Alabama,63.9,3.6,116,60.3
AL-051,Elmore County,Alabama,67.8,3.2,112,64.6
AL-053,Escambia County,Alabama,70.4,3.7,115,66.7
AL-055,Etowah County,Alabama,65.6,3.9,116,61.7
AL-057,Fayette County,Alabama,66.2,3.5,114,62.7
AL-059,Franklin County,Alabama,65.1,4.3,121,60.8
AL-061,Geneva County,Alabama,69.8,2.9,112,66.9
AL-063,Greene County,Alabama,67.5,2.8,110,64.7
AL-065,Hale County,Alabama,66.8,2.2,100,64.6
