February 2021 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,3.04,-2.23,19,5.27
AL-003,Baldwin County,Alabama,4.43,-0.56,56,4.99
AL-005,Barbour County,Alabama,5.03,0.1,74,4.93
AL-007,Bibb County,Alabama,3.76,-1.55,38,5.31
AL-009,Blount County,Alabama,5.44,0.22,75,5.22
AL-011,Bullock County,Alabama,4.14,-0.97,48,5.11
AL-013,Butler County,Alabama,3.13,-2.18,27,5.31
AL-015,Calhoun County,Alabama,3.9,-1.28,42,5.18
AL-017,Chambers County,Alabama,3.82,-1.45,35,5.27
AL-019,Cherokee County,Alabama,4.99,-0.25,69,5.24
AL-021,Chilton County,Alabama,2.86,-2.38,18,5.24
AL-023,Choctaw County,Alabama,4.99,-0.42,60,5.41
AL-025,Clarke County,Alabama,2.78,-2.59,19,5.37
AL-027,Clay County,Alabama,3.72,-1.71,34,5.43
AL-029,Cleburne County,Alabama,3.8,-1.41,39,5.21
AL-031,Coffee County,Alabama,3.99,-1.16,47,5.15
AL-033,Colbert County,Alabama,4.47,-0.4,64,4.87
AL-035,Conecuh County,Alabama,3.15,-2.17,28,5.32
AL-037,Coosa County,Alabama,2.98,-2.37,19,5.35
AL-039,Covington County,Alabama,3.98,-1.25,43,5.23
AL-041,Crenshaw County,Alabama,3.35,-1.89,28,5.24
AL-043,Cullman County,Alabama,5.59,0.36,74,5.23
AL-045,Dale County,Alabama,4.61,-0.44,57,5.05
AL-047,Dallas County,Alabama,3.15,-2.05,23,5.2
AL-049,DeKalb County,Alabama,5.42,0.19,79,5.23
AL-051,Elmore County,Alabama,3.22,-2.08,23,5.3
AL-053,Escambia County,Alabama,3.77,-1.54,44,5.31
AL-055,Etowah County,Alabama,5.5,0.24,77,5.26
AL-057,Fayette County,Alabama,5.49,0.24,77,5.25
AL-059,Franklin County,Alabama,4.01,-0.99,52,5
AL-061,Geneva County,Alabama,5.59,0.43,74,5.16
AL-063,Greene County,Alabama,3.15,-2.01,27,5.16
AL-065,Hale County,Alabama,2.93,-2.29,20,5.22
AL-067,Henry County,Alabama,5.35,0.27,75,5.08
AL-069,Houston County,Alabama,5.7,0.69,77,5.01
AL-071,Jackson County,Alabama,5.44,0.38,83,5.06
AL-073,Jefferson County,Alabama,4.56,-0.65,54,5.21
AL-075,Lamar County,Alabama,5.71,0.58,83,5.13
AL-077,Lauderdale County,Alabama,5.1,0.15,84,4.95
AL-079,Lawrence County,Alabama,4.72,-0.18,68,4.9
AL-081,Lee County,Alabama,4.12,-1.02,47,5.14
AL-083,Limestone County,Alabama,5.12,0.12,80,5
AL-085,Lowndes County,Alabama,3.36,-1.78,28,5.14
AL-087,Macon County,Alabama,3.88,-1.24,41,5.12
AL-089,Madison County,Alabama,5.83,0.83,91,5
AL-091,Marengo County,Alabama,2.69,-2.54,18,5.23
AL-093,Marion County,Alabama,4.92,-0.26,68,5.18
AL-095,Marshall County,Alabama,5.8,0.73,85,5.07
AL-097,Mobile County,Alabama,4.72,-0.28,66,5
AL-099,Monroe County,Alabama,3.08,-2.19,25,5.27
AL-101,Montgomery County,Alabama,3.6,-1.52,36,5.12
AL-103,Morgan County,Alabama,5.24,0.23,77,5.01
AL-105,Perry County,Alabama,2.84,-2.39,19,5.23
