March 2021 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,61.2,5.1,120,56.1
AL-003,Baldwin County,Alabama,63.4,3.8,109,59.6
AL-005,Barbour County,Alabama,61.2,4.1,115,57.1
AL-007,Bibb County,Alabama,58.8,4.2,111,54.6
AL-009,Blount County,Alabama,57.7,5.7,117,52
AL-011,Bullock County,Alabama,61,4.8,120,56.2
AL-013,Butler County,Alabama,62.4,5.3,120,57.1
AL-015,Calhoun County,Alabama,57.4,4.8,114,52.6
AL-017,Chambers County,Alabama,57.3,3.9,108,53.4
AL-019,Cherokee County,Alabama,56.8,4.9,113,51.9
AL-021,Chilton County,Alabama,60.2,5.5,121,54.7
AL-023,Choctaw County,Alabama,60.3,3.3,99,57
AL-025,Clarke County,Alabama,61.8,4.3,113,57.5
AL-027,Clay County,Alabama,57.1,4.3,114,52.8
AL-029,Cleburne County,Alabama,57,5.4,118,51.6
AL-031,Coffee County,Alabama,62.6,4.5,119,58.1
AL-033,Colbert County,Alabama,57.5,6.7,120,50.8
AL-035,Conecuh County,Alabama,63.6,5.6,120,58
AL-037,Coosa County,Alabama,59,4.6,116,54.4
AL-039,Covington County,Alabama,62.6,4.5,118,58.1
AL-041,Crenshaw County,Alabama,62,5.1,120,56.9
AL-043,Cullman County,Alabama,56.8,5.2,115,51.6
AL-045,Dale County,Alabama,62.7,4.3,119,58.4
AL-047,Dallas County,Alabama,61.4,4.7,118,56.7
AL-049,DeKalb County,Alabama,55.4,4.8,111,50.6
AL-051,Elmore County,Alabama,60.6,4.8,117,55.8
AL-053,Escambia County,Alabama,63.6,4.8,119,58.8
AL-055,Etowah County,Alabama,56.9,4.6,111,52.3
AL-057,Fayette County,Alabama,57.8,4.4,113,53.4
AL-059,Franklin County,Alabama,57.3,6.4,118,50.9
AL-061,Geneva County,Alabama,63,4.1,116,58.9
AL-063,Greene County,Alabama,59.1,3.3,100,55.8
AL-065,Hale County,Alabama,59.1,3.4,102,55.7
AL-067,Henry County,Alabama,62.5,4.2,119,58.3
AL-069,Houston County,Alabama,63.5,4.2,118,59.3
AL-071,Jackson County,Alabama,55.8,5.2,111,50.6
AL-073,Jefferson County,Alabama,57.8,4.4,111,53.4
AL-075,Lamar County,Alabama,58.5,5,115,53.5
AL-077,Lauderdale County,Alabama,56.7,6.3,117,50.4
AL-079,Lawrence County,Alabama,56.2,5.1,114,51.1
AL-081,Lee County,Alabama,58.3,3.4,104,54.9
AL-083,Limestone County,Alabama,55.8,4.9,111,50.9
AL-085,Lowndes County,Alabama,61.8,4.9,119,56.9
AL-087,Macon County,Alabama,59.8,3.8,108,56
AL-089,Madison County,Alabama,55.7,4.7,111,51
AL-091,Marengo County,Alabama,60.6,4,108,56.6
AL-093,Marion County,Alabama,57.5,5.5,116,52
AL-095,Marshall County,Alabama,56.9,5.3,112,51.6
AL-097,Mobile County,Alabama,63.1,3.9,109,59.2
AL-099,Monroe County,Alabama,63.4,5.6,120,57.8
AL-101,Montgomery County,Alabama,62.1,5.5,120,56.6
AL-103,Morgan County,Alabama,56.3,4.9,112,51.4
AL-105,Perry County,Alabama,60,4.3,113,55.7
AL-107,Pickens County,Alabama,58.9,4.2,109,54.7
AL-109,Pike County,Alabama,62.1,5.1,120,57
AL-111,Randolph County,Alabama,56.9,4.6,114,52.3
AL-113,Russell County,Alabama,59.7,3.5,105,56.2
AL-115,St. Clair County,Alabama,57.6,4.8,114,52.8
AL-117,Shelby County,Alabama,58.3,4.4,112,53.9
AL-119,Sumter County,Alabama,59.4,3.2,99,56.2
AL-121,Talladega County,Alabama,58,4.2,113,53.8
AL-123,Tallapoosa County,Alabama,58,3.9,108,54.1
AL-125,Tuscaloosa County,Alabama,58,3.4,102,54.7
AL-127,Walker County,Alabama,57.4,4.3,112,53.1
AL-129,Washington County,Alabama,61.8,3.8,110,58
AL-131,Wilcox County,Alabama,62.1,4.8,117,57.3
AL-133,Winston County,Alabama,56.4,4.9,114,51.5
AZ-001,Apache County,Arizona,39.5,-0.4,50,39.9
AZ-003,Cochise County,Arizona,51.1,-0.3,47,51.4
AZ-005,Coconino County,Arizona,41.8,-0.1,53,41.9
AZ-007,Gila County,Arizona,48.9,0.3,58,48.6
AZ-009,Graham County,Arizona,50.8,0.2,62,50.6
AZ-011,Greenlee County,Arizona,46.7,0.3,65,46.4
AZ-012,La Paz County,Arizona,60.2,-0.2,55,60.4
AZ-013,Maricopa County,Arizona,59.9,0.8,69,59.1
AZ-015,Mohave County,Arizona,50.3,-0.6,47,50.9
AZ-017,Navajo County,Arizona,40.9,-0.4,47,41.3
AZ-019,Pima County,Arizona,57.2,0.4,63,56.8
AZ-021,Pinal County,Arizona,58.2,0.7,68,57.5
AZ-023,Santa Cruz County,Arizona,50.3,-0.5,46,50.8
AZ-025,Yavapai County,Arizona,48,-0.1,56,48.1
AZ-027,Yuma County,Arizona,61.5,-0.1,54,61.6
AR-001,Arkansas County,Arkansas,58.3,5.1,116,53.2
AR-003,Ashley County,Arkansas,59.4,4.5,112,54.9
AR-005,Baxter County,Arkansas,52.2,4.8,110,47.4
AR-007,Benton County,Arkansas,52.6,5,113,47.6
AR-009,Boone County,Arkansas,51.8,4.8,112,47
AR-011,Bradley County,Arkansas,58.3,4,107,54.3
AR-013,Calhoun County,Arkansas,57.5,3.2,100,54.3
AR-015,Carroll County,Arkansas,51.6,4.6,107,47
AR-017,Chicot County,Arkansas,58.9,3.8,105,55.1
AR-019,Clark County,Arkansas,56.1,2.8,97,53.3
AR-021,Clay County,Arkansas,53.7,4.9,113,48.8
AR-023,Cleburne County,Arkansas,53.2,3.6,98,49.6
AR-025,Cleveland County,Arkansas,56.8,3,99,53.8
