April 2021 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,4.49,-0.35,73,4.84
AL-003,Baldwin County,Alabama,9.82,5.13,119,4.69
AL-005,Barbour County,Alabama,6.71,2.41,105,4.3
AL-007,Bibb County,Alabama,4.8,-0.16,73,4.96
AL-009,Blount County,Alabama,3.48,-1.48,37,4.96
AL-011,Bullock County,Alabama,5.44,1.03,87,4.41
AL-013,Butler County,Alabama,6.24,1.42,93,4.82
AL-015,Calhoun County,Alabama,3.29,-1.58,42,4.87
AL-017,Chambers County,Alabama,4.45,-0.29,68,4.74
AL-019,Cherokee County,Alabama,3.1,-1.73,34,4.83
AL-021,Chilton County,Alabama,4.47,-0.45,70,4.92
AL-023,Choctaw County,Alabama,7.85,2.9,111,4.95
AL-025,Clarke County,Alabama,9.22,4.27,115,4.95
AL-027,Clay County,Alabama,4.2,-0.86,57,5.06
AL-029,Cleburne County,Alabama,3.61,-1.32,44,4.93
AL-031,Coffee County,Alabama,7.25,2.66,104,4.59
AL-033,Colbert County,Alabama,3.2,-1.69,34,4.89
AL-035,Conecuh County,Alabama,7.55,2.74,109,4.81
AL-037,Coosa County,Alabama,4.46,-0.48,66,4.94
AL-039,Covington County,Alabama,8.22,3.41,113,4.81
AL-041,Crenshaw County,Alabama,5.88,1.24,90,4.64
AL-043,Cullman County,Alabama,3.51,-1.46,38,4.97
AL-045,Dale County,Alabama,8.39,4.03,120,4.36
AL-047,Dallas County,Alabama,5.89,1.16,94,4.73
AL-049,DeKalb County,Alabama,3.05,-1.91,26,4.96
AL-051,Elmore County,Alabama,4.59,-0.13,76,4.72
AL-053,Escambia County,Alabama,8.01,3.22,109,4.79
AL-055,Etowah County,Alabama,3.01,-1.92,27,4.93
AL-057,Fayette County,Alabama,4.41,-0.71,59,5.12
AL-059,Franklin County,Alabama,3.38,-1.69,38,5.07
AL-061,Geneva County,Alabama,8.4,3.87,115,4.53
AL-063,Greene County,Alabama,4.75,-0.23,71,4.98
AL-065,Hale County,Alabama,4.41,-0.52,66,4.93
AL-067,Henry County,Alabama,9.21,4.95,123,4.26
AL-069,Houston County,Alabama,8.98,4.75,125,4.23
AL-071,Jackson County,Alabama,3.02,-1.81,25,4.83
AL-073,Jefferson County,Alabama,4.45,-0.4,61,4.85
AL-075,Lamar County,Alabama,4.6,-0.53,65,5.13
AL-077,Lauderdale County,Alabama,3.34,-1.48,36,4.82
AL-079,Lawrence County,Alabama,3.83,-0.97,43,4.8
AL-081,Lee County,Alabama,4.27,-0.28,69,4.55
AL-083,Limestone County,Alabama,3.79,-0.89,49,4.68
AL-085,Lowndes County,Alabama,4.95,0.35,82,4.6
AL-087,Macon County,Alabama,4.71,0.28,78,4.43
AL-089,Madison County,Alabama,3.57,-1.21,36,4.78
AL-091,Marengo County,Alabama,5.63,0.83,91,4.8
AL-093,Marion County,Alabama,4.12,-1.02,50,5.14
AL-095,Marshall County,Alabama,4.02,-0.86,47,4.88
AL-097,Mobile County,Alabama,10.95,6.07,121,4.88
AL-099,Monroe County,Alabama,7.52,2.7,110,4.82
AL-101,Montgomery County,Alabama,4.67,0.23,82,4.44
AL-103,Morgan County,Alabama,3.8,-0.99,46,4.79
AL-105,Perry County,Alabama,5.43,0.55,86,4.88
AL-107,Pickens County,Alabama,4.97,-0.05,74,5.02
AL-109,Pike County,Alabama,5.8,1.27,89,4.53
AL-111,Randolph County,Alabama,4,-0.88,53,4.88
AL-113,Russell County,Alabama,4.4,0.2,77,4.2
AL-115,St. Clair County,Alabama,4.25,-0.64,57,4.89
AL-117,Shelby County,Alabama,4.66,-0.16,67,4.82
AL-119,Sumter County,Alabama,4.7,-0.32,68,5.02
AL-121,Talladega County,Alabama,3.98,-0.89,53,4.87
