May 2021 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,71,-0.4,53,71.4
AL-003,Baldwin County,Alabama,72.5,-1,35,73.5
AL-005,Barbour County,Alabama,69.5,-2.8,10,72.3
AL-007,Bibb County,Alabama,68.8,-1.6,29,70.4
AL-009,Blount County,Alabama,67.9,-0.6,49,68.5
AL-011,Bullock County,Alabama,69.8,-1.9,23,71.7
AL-013,Butler County,Alabama,71.3,-0.6,55,71.9
AL-015,Calhoun County,Alabama,67.6,-1.2,36,68.8
AL-017,Chambers County,Alabama,67.2,-2,25,69.2
AL-019,Cherokee County,Alabama,66.9,-1.8,30,68.7
AL-021,Chilton County,Alabama,68.9,-1.4,38,70.3
AL-023,Choctaw County,Alabama,70.3,-1.6,30,71.9
AL-025,Clarke County,Alabama,71.2,-0.9,42,72.1
AL-027,Clay County,Alabama,67.3,-1,41,68.3
AL-029,Cleburne County,Alabama,66.3,-1.4,34,67.7
AL-031,Coffee County,Alabama,71.6,-1.2,39,72.8
AL-033,Colbert County,Alabama,66.6,-1.5,35,68.1
AL-035,Conecuh County,Alabama,71.9,-0.7,50,72.6
AL-037,Coosa County,Alabama,69.1,-0.6,47,69.7
AL-039,Covington County,Alabama,71.7,-1.1,40,72.8
AL-041,Crenshaw County,Alabama,71,-0.8,48,71.8
AL-043,Cullman County,Alabama,67.1,-1.1,38,68.2
AL-045,Dale County,Alabama,71.5,-1.6,26,73.1
AL-047,Dallas County,Alabama,71.4,-0.4,55,71.8
AL-049,DeKalb County,Alabama,65.3,-2,28,67.3
AL-051,Elmore County,Alabama,70.8,-0.4,56,71.2
AL-053,Escambia County,Alabama,72,-1,42,73
AL-055,Etowah County,Alabama,67.5,-1.3,37,68.8
AL-057,Fayette County,Alabama,68.3,-1.5,33,69.8
AL-059,Franklin County,Alabama,66.4,-1.6,34,68
AL-061,Geneva County,Alabama,72.1,-1.3,32,73.4
AL-063,Greene County,Alabama,70.1,-1.5,32,71.6
AL-065,Hale County,Alabama,69.9,-1.5,29,71.4
AL-067,Henry County,Alabama,70.9,-2.3,16,73.2
AL-069,Houston County,Alabama,72.1,-1.9,20,74
AL-071,Jackson County,Alabama,65.7,-1.8,31,67.5
AL-073,Jefferson County,Alabama,68.7,-0.9,42,69.6
AL-075,Lamar County,Alabama,68.7,-1.2,41,69.9
AL-077,Lauderdale County,Alabama,65.9,-1.8,28,67.7
AL-079,Lawrence County,Alabama,66.1,-2.1,26,68.2
AL-081,Lee County,Alabama,68,-2.5,15,70.5
AL-083,Limestone County,Alabama,65.8,-2.2,23,68
AL-085,Lowndes County,Alabama,71.8,-0.2,59,72
AL-087,Macon County,Alabama,69.5,-2.1,21,71.6
AL-089,Madison County,Alabama,66.1,-1.9,28,68
AL-091,Marengo County,Alabama,70.7,-1.1,37,71.8
AL-093,Marion County,Alabama,67.2,-1.5,35,68.7
AL-095,Marshall County,Alabama,67.1,-1.2,40,68.3
AL-097,Mobile County,Alabama,72.4,-0.8,40,73.2
AL-099,Monroe County,Alabama,72,-0.3,57,72.3
AL-101,Montgomery County,Alabama,71.8,-0.1,60,71.9
AL-103,Morgan County,Alabama,66.6,-1.7,31,68.3
AL-105,Perry County,Alabama,70.1,-1.1,40,71.2
AL-107,Pickens County,Alabama,69.7,-1.2,39,70.9
AL-109,Pike County,Alabama,70.6,-1.5,32,72.1
AL-111,Randolph County,Alabama,66.7,-1.5,31,68.2
AL-113,Russell County,Alabama,68.6,-3.1,8,71.7
AL-115,St. Clair County,Alabama,68,-0.9,42,68.9
AL-117,Shelby County,Alabama,68.4,-1.2,35,69.6
AL-119,Sumter County,Alabama,70.2,-1.4,31,71.6
AL-121,Talladega County,Alabama,68.2,-1.1,39,69.3
AL-123,Tallapoosa County,Alabama,68.7,-1,43,69.7
AL-125,Tuscaloosa County,Alabama,69,-1.8,28,70.8
AL-127,Walker County,Alabama,68,-1.4,33,69.4
AL-129,Washington County,Alabama,71.4,-1.2,35,72.6
AL-131,Wilcox County,Alabama,71.6,-0.4,53,72
AL-133,Winston County,Alabama,66.3,-1.8,31,68.1
AZ-001,Apache County,Arizona,58.2,2.1,98,56.1
AZ-003,Cochise County,Arizona,68.7,2.4,105,66.3
AZ-005,Coconino County,Arizona,60.9,3,104,57.9
AZ-007,Gila County,Arizona,66.6,2.9,105,63.7
AZ-009,Graham County,Arizona,69.2,3.1,112,66.1
AZ-011,Greenlee County,Arizona,64.4,3,111,61.4
AZ-012,La Paz County,Arizona,79.3,3.5,112,75.8
AZ-013,Maricopa County,Arizona,77.4,2.9,103,74.5
AZ-015,Mohave County,Arizona,70.4,3.4,112,67
AZ-017,Navajo County,Arizona,60,2.3,98,57.7
AZ-019,Pima County,Arizona,74.4,2.8,107,71.6
AZ-021,Pinal County,Arizona,76.5,3.1,109,73.4
AZ-023,Santa Cruz County,Arizona,66.6,1.9,97,64.7
AZ-025,Yavapai County,Arizona,66.3,3.3,108,63
AZ-027,Yuma County,Arizona,78.3,2.6,101,75.7
AR-001,Arkansas County,Arkansas,69.2,-1.4,33,70.6
AR-003,Ashley County,Arkansas,70.5,-0.6,45,71.1
AR-005,Baxter County,Arkansas,63.6,-1.9,30,65.5
AR-007,Benton County,Arkansas,63.6,-1.9,31,65.5
AR-009,Boone County,Arkansas,63.1,-1.8,31,64.9
AR-011,Bradley County,Arkansas,69.6,-1.1,36,70.7
AR-013,Calhoun County,Arkansas,68.8,-1.8,24,70.6
AR-015,Carroll County,Arkansas,62.9,-2.1,26,65
AR-017,Chicot County,Arkansas,69.8,-2,21,71.8
AR-019,Clark County,Arkansas,67.7,-2.3,18,70
AR-021,Clay County,Arkansas,66,-2,25,68
AR-023,Cleburne County,Arkansas,65.3,-1.6,30,66.9
AR-025,Cleveland County,Arkansas,68.2,-2.2,17,70.4
AR-027,Columbia County,Arkansas,69.4,-1.6,33,71
AR-029,Conway County,Arkansas,66.8,-1.7,30,68.5
AR-031,Craighead County,Arkansas,66.8,-1.8,28,68.6
AR-033,Crawford County,Arkansas,65.3,-2,24,67.3
AR-035,Crittenden County,Arkansas,68.9,-1.4,38,70.3
AR-037,Cross County,Arkansas,68.1,-1.7,34,69.8
AR-039,Dallas County,Arkansas,67.8,-2.3,18,70.1
AR-041,Desha County,Arkansas,69.3,-1.8,23,71.1
AR-043,Drew County,Arkansas,69.4,-1.5,26,70.9
AR-045,Faulkner County,Arkansas,66.8,-1.9,23,68.7
AR-047,Franklin County,Arkansas,65.2,-2,26,67.2
AR-049,Fulton County,Arkansas,64.1,-1,37,65.1
AR-051,Garland County,Arkansas,66.6,-2.1,20,68.7
AR-053,Grant County,Arkansas,67.8,-2.3,17,70.1
AR-055,Greene County,Arkansas,66.3,-1.9,28,68.2
AR-057,Hempstead County,Arkansas,68.4,-1.9,21,70.3
AR-059,Hot Spring County,Arkansas,67.3,-2.3,15,69.6
AR-061,Howard County,Arkansas,67,-2,22,69
AR-063,Independence County,Arkansas,65,-2.2,21,67.2
AR-065,Izard County,Arkansas,63.9,-2,25,65.9
AR-067,Jackson County,Arkansas,66.3,-2.1,27,68.4
AR-069,Jefferson County,Arkansas,68.1,-2.2,17,70.3
AR-071,Johnson County,Arkansas,64.4,-2.1,25,66.5
AR-073,Lafayette County,Arkansas,69.6,-1.6,30,71.2
AR-075,Lawrence County,Arkansas,65.8,-1.9,30,67.7
AR-077,Lee County,Arkansas,68.7,-1.7,32,70.4
AR-079,Lincoln County,Arkansas,68.8,-1.8,21,70.6
AR-081,Little River County,Arkansas,68.8,-1.4,28,70.2
AR-083,Logan County,Arkansas,65.7,-2.5,14,68.2
AR-085,Lonoke County,Arkansas,67.8,-2.1,21,69.9
AR-087,Madison County,Arkansas,62.4,-1.9,30,64.3
AR-089,Marion County,Arkansas,63.8,-1.6,32,65.4
AR-091,Miller County,Arkansas,69.6,-1.6,25,71.2
AR-093,Mississippi County,Arkansas,67.7,-1.8,33,69.5
AR-095,Monroe County,Arkansas,68.9,-1.4,37,70.3
AR-097,Montgomery County,Arkansas,65.9,-2.2,17,68.1
AR-099,Nevada County,Arkansas,68.2,-2.3,17,70.5
AR-101,Newton County,Arkansas,62.1,-2.1,25,64.2
AR-103,Ouachita County,Arkansas,68.4,-2.4,16,70.8
AR-105,Perry County,Arkansas,66.8,-2.2,18,69
AR-107,Phillips County,Arkansas,69.2,-1.4,34,70.6
AR-109,Pike County,Arkansas,67,-2,23,69
AR-111,Poinsett County,Arkansas,67.5,-1.8,30,69.3
AR-113,Polk County,Arkansas,64.6,-2.5,14,67.1
AR-115,Pope County,Arkansas,65.3,-2,25,67.3
AR-117,Prairie County,Arkansas,68.4,-1.6,30,70
AR-119,Pulaski County,Arkansas,67.4,-2.2,19,69.6
AR-121,Randolph County,Arkansas,65.4,-1.6,33,67
AR-123,St. Francis County,Arkansas,68.6,-1.6,35,70.2
AR-125,Saline County,Arkansas,67.1,-2.1,19,69.2
AR-127,Scott County,Arkansas,65.2,-2.5,12,67.7
AR-129,Searcy County,Arkansas,62.8,-2.3,24,65.1
AR-131,Sebastian County,Arkansas,66.3,-2.1,18,68.4
