July 2021 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,6.51,1.31,105,5.2
AL-003,Baldwin County,Alabama,8.81,1.42,100,7.39
AL-005,Barbour County,Alabama,6.53,0.92,95,5.61
AL-007,Bibb County,Alabama,8.15,2.9,120,5.25
AL-009,Blount County,Alabama,7.76,2.81,114,4.95
AL-011,Bullock County,Alabama,7.14,1.78,111,5.36
AL-013,Butler County,Alabama,7.71,1.95,107,5.76
AL-015,Calhoun County,Alabama,6.03,1.24,104,4.79
AL-017,Chambers County,Alabama,6.48,1.16,102,5.32
AL-019,Cherokee County,Alabama,5.36,0.67,94,4.69
AL-021,Chilton County,Alabama,7.46,2.26,115,5.2
AL-023,Choctaw County,Alabama,9.66,4.07,123,5.59
AL-025,Clarke County,Alabama,10.56,4.61,126,5.95
AL-027,Clay County,Alabama,7.66,2.32,112,5.34
AL-029,Cleburne County,Alabama,5.91,0.89,95,5.02
AL-031,Coffee County,Alabama,6.86,0.63,89,6.23
AL-033,Colbert County,Alabama,5.64,1.25,97,4.39
AL-035,Conecuh County,Alabama,10.55,4.2,125,6.35
AL-037,Coosa County,Alabama,7.7,2.41,117,5.29
AL-039,Covington County,Alabama,8.84,2.19,110,6.65
AL-041,Crenshaw County,Alabama,6.89,1.04,97,5.85
AL-043,Cullman County,Alabama,7.83,2.85,116,4.98
AL-045,Dale County,Alabama,6.77,0.8,91,5.97
AL-047,Dallas County,Alabama,5.64,0.62,97,5.02
AL-049,DeKalb County,Alabama,5.4,0.62,89,4.78
AL-051,Elmore County,Alabama,6.91,1.74,107,5.17
AL-053,Escambia County,Alabama,10.89,3.91,120,6.98
AL-055,Etowah County,Alabama,6.78,2.08,111,4.7
AL-057,Fayette County,Alabama,6.97,1.74,101,5.23
AL-059,Franklin County,Alabama,7.26,2.6,113,4.66
AL-061,Geneva County,Alabama,7.52,0.99,89,6.53
AL-063,Greene County,Alabama,5.61,0.66,83,4.95
AL-065,Hale County,Alabama,4.42,-0.77,58,5.19
AL-067,Henry County,Alabama,7.06,1.03,101,6.03
AL-069,Houston County,Alabama,8.13,1.95,108,6.18
AL-071,Jackson County,Alabama,5.59,0.86,91,4.73
AL-073,Jefferson County,Alabama,9.06,3.87,123,5.19
AL-075,Lamar County,Alabama,6.74,1.7,103,5.04
AL-077,Lauderdale County,Alabama,5.49,1.25,98,4.24
AL-079,Lawrence County,Alabama,7.81,3.3,123,4.51
AL-081,Lee County,Alabama,5.83,0.42,90,5.41
AL-083,Limestone County,Alabama,9.39,5.05,127,4.34
AL-085,Lowndes County,Alabama,5.94,0.84,96,5.1
AL-087,Macon County,Alabama,6.91,1.76,109,5.15
AL-089,Madison County,Alabama,8.92,4.34,123,4.58
AL-091,Marengo County,Alabama,5.47,0.23,80,5.24
AL-093,Marion County,Alabama,7.77,2.83,119,4.94
AL-095,Marshall County,Alabama,7.02,2.27,111,4.75
AL-097,Mobile County,Alabama,8.39,0.89,94,7.5
AL-099,Monroe County,Alabama,9.91,3.85,124,6.06
AL-101,Montgomery County,Alabama,6.74,1.62,105,5.12
AL-103,Morgan County,Alabama,8.85,4.26,124,4.59
AL-105,Perry County,Alabama,4.8,-0.38,67,5.18
AL-107,Pickens County,Alabama,6.54,1.58,106,4.96
AL-109,Pike County,Alabama,6.6,0.86,99,5.74
AL-111,Randolph County,Alabama,7.4,2.17,113,5.23
AL-113,Russell County,Alabama,5.99,0.61,93,5.38
AL-115,St. Clair County,Alabama,7.69,2.85,120,4.84
AL-117,Shelby County,Alabama,9.83,4.66,123,5.17
AL-119,Sumter County,Alabama,6.52,1.33,102,5.2
AL-121,Talladega County,Alabama,7.91,2.93,118,4.98
AL-123,Tallapoosa County,Alabama,7.29,1.98,110,5.31
AL-125,Tuscaloosa County,Alabama,7.86,2.52,115,5.34
AL-127,Walker County,Alabama,6.36,1.09,100,5.27
AL-129,Washington County,Alabama,10.73,4.19,123,6.54
AL-131,Wilcox County,Alabama,6.8,1.48,103,5.32
AL-133,Winston County,Alabama,7.21,2.12,115,5.09
AZ-001,Apache County,Arizona,3.36,1.4,122,1.96
