August 2021 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,5.33,1.21,99,4.12
AL-003,Baldwin County,Alabama,10.01,3.83,117,6.18
AL-005,Barbour County,Alabama,7.86,3.31,122,4.55
AL-007,Bibb County,Alabama,5.78,1.65,107,4.13
AL-009,Blount County,Alabama,6,1.81,106,4.19
AL-011,Bullock County,Alabama,7.29,3.14,120,4.15
AL-013,Butler County,Alabama,6.74,2.18,107,4.56
AL-015,Calhoun County,Alabama,5.45,1.34,95,4.11
AL-017,Chambers County,Alabama,6.31,2.15,115,4.16
AL-019,Cherokee County,Alabama,7.9,3.9,126,4
AL-021,Chilton County,Alabama,5.16,0.94,96,4.22
AL-023,Choctaw County,Alabama,8.06,3.8,122,4.26
AL-025,Clarke County,Alabama,8.23,3.27,116,4.96
AL-027,Clay County,Alabama,4.94,0.83,88,4.11
AL-029,Cleburne County,Alabama,7.33,3.33,119,4
AL-031,Coffee County,Alabama,8.76,3.69,121,5.07
AL-033,Colbert County,Alabama,10.96,7.27,128,3.69
AL-035,Conecuh County,Alabama,7.36,2.31,110,5.06
AL-037,Coosa County,Alabama,4.64,0.49,88,4.15
AL-039,Covington County,Alabama,7.59,2.24,105,5.35
AL-041,Crenshaw County,Alabama,7.77,3.25,121,4.52
AL-043,Cullman County,Alabama,5.64,1.68,102,3.96
AL-045,Dale County,Alabama,8.29,3.17,115,5.12
AL-047,Dallas County,Alabama,6.08,2.14,117,3.94
AL-049,DeKalb County,Alabama,8.92,4.81,127,4.11
AL-051,Elmore County,Alabama,5.46,1.32,103,4.14
AL-053,Escambia County,Alabama,8.53,2.89,113,5.64
AL-055,Etowah County,Alabama,5.72,1.59,102,4.13
AL-057,Fayette County,Alabama,7.31,3.47,123,3.84
AL-059,Franklin County,Alabama,10.46,6.71,128,3.75
AL-061,Geneva County,Alabama,9.02,3.45,117,5.57
AL-063,Greene County,Alabama,8.3,4.62,129,3.68
AL-065,Hale County,Alabama,7.56,3.66,119,3.9
AL-067,Henry County,Alabama,8.4,3.5,117,4.9
AL-069,Houston County,Alabama,9.35,4.08,122,5.27
AL-071,Jackson County,Alabama,7.84,3.98,127,3.86
AL-073,Jefferson County,Alabama,6.4,2.19,114,4.21
AL-075,Lamar County,Alabama,7.51,3.74,125,3.77
AL-077,Lauderdale County,Alabama,9.81,6.1,128,3.71
AL-079,Lawrence County,Alabama,8.01,4.4,128,3.61
AL-081,Lee County,Alabama,7.13,3.15,125,3.98
AL-083,Limestone County,Alabama,7.17,3.58,124,3.59
AL-085,Lowndes County,Alabama,6.28,2.24,112,4.04
AL-087,Macon County,Alabama,7.11,3.16,123,3.95
AL-089,Madison County,Alabama,7.44,3.72,126,3.72
AL-091,Marengo County,Alabama,7.61,3.56,122,4.05
AL-093,Marion County,Alabama,8.1,4.3,127,3.8
AL-095,Marshall County,Alabama,6.27,2.33,110,3.94
AL-097,Mobile County,Alabama,10.79,4.93,121,5.86
AL-099,Monroe County,Alabama,7.28,2.35,114,4.93
AL-101,Montgomery County,Alabama,7.16,3.06,122,4.1
AL-103,Morgan County,Alabama,6.58,2.92,122,3.66
AL-105,Perry County,Alabama,6.84,2.86,120,3.98
AL-107,Pickens County,Alabama,7.44,3.72,127,3.72
AL-109,Pike County,Alabama,8.05,3.55,122,4.5
AL-111,Randolph County,Alabama,6.82,2.66,116,4.16
AL-113,Russell County,Alabama,7.5,3.45,124,4.05
AL-115,St. Clair County,Alabama,6.19,2.07,109,4.12
AL-117,Shelby County,Alabama,5.35,1.04,101,4.31
AL-119,Sumter County,Alabama,7.98,4.17,123,3.81
AL-121,Talladega County,Alabama,4.61,0.55,88,4.06
AL-123,Tallapoosa County,Alabama,5.15,0.98,99,4.17
AL-125,Tuscaloosa County,Alabama,6.65,2.67,113,3.98
AL-127,Walker County,Alabama,7.8,3.74,126,4.06
AL-129,Washington County,Alabama,9.1,4.11,122,4.99
AL-131,Wilcox County,Alabama,6.55,2.27,116,4.28
AL-133,Winston County,Alabama,7.85,3.96,128,3.89
AZ-001,Apache County,Arizona,1.51,-0.66,35,2.17
AZ-003,Cochise County,Arizona,3.84,0.64,96,3.2
AZ-005,Coconino County,Arizona,1.28,-0.75,25,2.03
AZ-007,Gila County,Arizona,3.69,0.57,97,3.12
AZ-009,Graham County,Arizona,3.02,0.34,88,2.68
AZ-011,Greenlee County,Arizona,2.98,0.01,74,2.97
AZ-012,La Paz County,Arizona,1.37,0.3,100,1.07
AZ-013,Maricopa County,Arizona,2.67,1.2,119,1.47
AZ-015,Mohave County,Arizona,1.18,-0.35,52,1.53
AZ-017,Navajo County,Arizona,1.46,-0.56,40,2.02
AZ-019,Pima County,Arizona,3.87,1.32,117,2.55
AZ-021,Pinal County,Arizona,2.49,0.43,98,2.06
AZ-023,Santa Cruz County,Arizona,4.66,0.56,90,4.1
AZ-025,Yavapai County,Arizona,2.21,-0.38,57,2.59
AZ-027,Yuma County,Arizona,2.26,1.42,123,0.84
AR-001,Arkansas County,Arkansas,2.21,-0.98,40,3.19
AR-003,Ashley County,Arkansas,3.99,0.74,88,3.25
AR-005,Baxter County,Arkansas,3.06,-0.22,66,3.28
AR-007,Benton County,Arkansas,2.64,-1.06,44,3.7
AR-009,Boone County,Arkansas,3.28,-0.15,67,3.43
AR-011,Bradley County,Arkansas,5.19,2.05,110,3.14
AR-013,Calhoun County,Arkansas,5.09,1.95,111,3.14
AR-015,Carroll County,Arkansas,2.77,-0.85,52,3.62
AR-017,Chicot County,Arkansas,4.02,0.78,88,3.24
AR-019,Clark County,Arkansas,2.31,-0.9,46,3.21
AR-021,Clay County,Arkansas,4.12,0.48,84,3.64
AR-023,Cleburne County,Arkansas,1.74,-1.92,20,3.66
AR-025,Cleveland County,Arkansas,3.08,-0.04,73,3.12
