September 2021 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,75.2,-0.2,57,75.4
AL-003,Baldwin County,Alabama,76.8,-0.5,54,77.3
AL-005,Barbour County,Alabama,74.4,-1.5,40,75.9
AL-007,Bibb County,Alabama,73.2,-1.5,39,74.7
AL-009,Blount County,Alabama,72.4,-0.2,59,72.6
AL-011,Bullock County,Alabama,74.6,-0.9,49,75.5
AL-013,Butler County,Alabama,75.8,0.1,72,75.7
AL-015,Calhoun County,Alabama,72.2,-0.6,53,72.8
AL-017,Chambers County,Alabama,72.3,-0.8,49,73.1
AL-019,Cherokee County,Alabama,71.9,-0.9,48,72.8
AL-021,Chilton County,Alabama,73.2,-1.2,41,74.4
AL-023,Choctaw County,Alabama,75,-0.6,54,75.6
AL-025,Clarke County,Alabama,75.4,-0.4,58,75.8
AL-027,Clay County,Alabama,71.4,-0.7,51,72.1
AL-029,Cleburne County,Alabama,71,-0.6,54,71.6
AL-031,Coffee County,Alabama,75.9,-0.5,61,76.4
AL-033,Colbert County,Alabama,72.3,0,67,72.3
AL-035,Conecuh County,Alabama,76.6,0.2,75,76.4
AL-037,Coosa County,Alabama,72.9,-0.9,47,73.8
AL-039,Covington County,Alabama,76.3,-0.3,67,76.6
AL-041,Crenshaw County,Alabama,75.4,-0.2,68,75.6
AL-043,Cullman County,Alabama,72.1,-0.3,57,72.4
AL-045,Dale County,Alabama,75.7,-0.9,48,76.6
AL-047,Dallas County,Alabama,75.7,-0,65,75.7
AL-049,DeKalb County,Alabama,70,-1.4,42,71.4
AL-051,Elmore County,Alabama,75.1,-0.2,61,75.3
AL-053,Escambia County,Alabama,76.8,0.1,73,76.7
AL-055,Etowah County,Alabama,71.9,-1,48,72.9
AL-057,Fayette County,Alabama,73,-1.2,45,74.2
AL-059,Franklin County,Alabama,71.6,-0.6,53,72.2
AL-061,Geneva County,Alabama,76.5,-0.4,60,76.9
AL-063,Greene County,Alabama,74.5,-1.3,45,75.8
AL-065,Hale County,Alabama,74,-1.6,39,75.6
AL-067,Henry County,Alabama,75.3,-1.2,37,76.5
AL-069,Houston County,Alabama,76.3,-0.9,44,77.2
AL-071,Jackson County,Alabama,70.6,-1.1,48,71.7
AL-073,Jefferson County,Alabama,73.2,-0.6,54,73.8
AL-075,Lamar County,Alabama,73.5,-0.8,49,74.3
AL-077,Lauderdale County,Alabama,71.9,0,69,71.9
AL-079,Lawrence County,Alabama,71.4,-0.9,52,72.3
AL-081,Lee County,Alabama,72.8,-1.6,34,74.4
AL-083,Limestone County,Alabama,71.1,-1.1,47,72.2
AL-085,Lowndes County,Alabama,76.2,0.3,72,75.9
AL-087,Macon County,Alabama,74.4,-1.2,44,75.6
AL-089,Madison County,Alabama,71.2,-1.1,47,72.3
AL-091,Marengo County,Alabama,74.7,-1,48,75.7
AL-093,Marion County,Alabama,71.8,-1.2,46,73
AL-095,Marshall County,Alabama,71.5,-1,48,72.5
AL-097,Mobile County,Alabama,76.3,-0.7,48,77
AL-099,Monroe County,Alabama,76.6,0.6,78,76.1
AL-101,Montgomery County,Alabama,76.4,0.6,81,75.8
AL-103,Morgan County,Alabama,71.6,-0.8,49,72.4
AL-105,Perry County,Alabama,74.2,-1.1,44,75.3
AL-107,Pickens County,Alabama,74.5,-0.7,52,75.2
AL-109,Pike County,Alabama,75.1,-0.7,54,75.8
AL-111,Randolph County,Alabama,71.5,-0.6,53,72.1
AL-113,Russell County,Alabama,73.7,-1.9,27,75.6
AL-115,St. Clair County,Alabama,72.5,-0.5,55,73
AL-117,Shelby County,Alabama,72.9,-1,47,73.9
AL-119,Sumter County,Alabama,74.7,-1,46,75.7
AL-121,Talladega County,Alabama,72.7,-0.7,51,73.4
AL-123,Tallapoosa County,Alabama,72.8,-0.9,48,73.7
AL-125,Tuscaloosa County,Alabama,73.7,-1.6,43,75.3
AL-127,Walker County,Alabama,72.7,-1.1,44,73.8
AL-129,Washington County,Alabama,75.6,-0.6,56,76.2
AL-131,Wilcox County,Alabama,75.9,0,68,75.9
AL-133,Winston County,Alabama,71.1,-1.3,45,72.4
AZ-001,Apache County,Arizona,65.1,2.8,121,62.3
AZ-003,Cochise County,Arizona,72.6,0.9,84,71.7
AZ-005,Coconino County,Arizona,68.2,3.7,124,64.5
AZ-007,Gila County,Arizona,72.6,1.6,100,71
AZ-009,Graham County,Arizona,73.6,1.2,96,72.4
AZ-011,Greenlee County,Arizona,69,1.5,100,67.5
AZ-012,La Paz County,Arizona,87.3,3.7,118,83.6
AZ-013,Maricopa County,Arizona,84.7,2.4,105,82.3
AZ-015,Mohave County,Arizona,78,3.7,120,74.3
AZ-017,Navajo County,Arizona,67.4,3.2,124,64.2
AZ-019,Pima County,Arizona,80.7,1.7,98,79
AZ-021,Pinal County,Arizona,82.2,1.6,93,80.6
AZ-023,Santa Cruz County,Arizona,71.9,0.8,83,71.1
AZ-025,Yavapai County,Arizona,73.7,3.1,117,70.6
AZ-027,Yuma County,Arizona,87.9,3.7,118,84.2
AR-001,Arkansas County,Arkansas,75.1,0.7,78,74.4
AR-003,Ashley County,Arkansas,76.2,1.3,90,74.9
AR-005,Baxter County,Arkansas,72.5,2.6,106,69.9
AR-007,Benton County,Arkansas,73.7,3.6,115,70.1
AR-009,Boone County,Arkansas,72.7,3.1,112,69.6
AR-011,Bradley County,Arkansas,75.3,0.6,75,74.7
AR-013,Calhoun County,Arkansas,74.9,0.1,67,74.8
AR-015,Carroll County,Arkansas,72.6,2.8,108,69.8
AR-017,Chicot County,Arkansas,75.4,0.2,65,75.2
AR-019,Clark County,Arkansas,75.3,0.8,80,74.5
AR-021,Clay County,Arkansas,72.8,1.3,82,71.5
AR-023,Cleburne County,Arkansas,73.4,2,97,71.4
AR-025,Cleveland County,Arkansas,74.7,0.3,71,74.4
AR-027,Columbia County,Arkansas,75.6,0.3,73,75.3
AR-029,Conway County,Arkansas,75,2.2,100,72.8
AR-031,Craighead County,Arkansas,73.5,1.4,82,72.1
