November 2022 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,4.22,0.56,89,3.66
AL-003,Baldwin County,Alabama,5.21,1.48,100,3.73
AL-005,Barbour County,Alabama,4.79,1.45,106,3.34
AL-007,Bibb County,Alabama,5.03,1.18,102,3.85
AL-009,Blount County,Alabama,5.28,1.24,102,4.04
AL-011,Bullock County,Alabama,5.37,1.88,110,3.49
AL-013,Butler County,Alabama,6.01,2.25,113,3.76
AL-015,Calhoun County,Alabama,4.83,1.2,99,3.63
AL-017,Chambers County,Alabama,6.14,2.51,114,3.63
AL-019,Cherokee County,Alabama,4.8,1.01,99,3.79
AL-021,Chilton County,Alabama,4.19,0.49,86,3.7
AL-023,Choctaw County,Alabama,4.07,0.07,81,4
AL-025,Clarke County,Alabama,6.02,2.05,109,3.97
AL-027,Clay County,Alabama,4.27,0.48,88,3.79
AL-029,Cleburne County,Alabama,4.33,0.64,89,3.69
AL-031,Coffee County,Alabama,3.34,-0.29,68,3.63
AL-033,Colbert County,Alabama,4.15,-0.15,74,4.3
AL-035,Conecuh County,Alabama,5.85,2.08,109,3.77
AL-037,Coosa County,Alabama,4.8,1.1,97,3.7
AL-039,Covington County,Alabama,4.24,0.47,85,3.77
AL-041,Crenshaw County,Alabama,5.01,1.28,102,3.73
AL-043,Cullman County,Alabama,4.97,0.83,94,4.14
AL-045,Dale County,Alabama,3.34,-0.07,72,3.41
AL-047,Dallas County,Alabama,4.21,0.67,92,3.54
AL-049,DeKalb County,Alabama,4.81,0.72,92,4.09
AL-051,Elmore County,Alabama,5.52,1.87,110,3.65
AL-053,Escambia County,Alabama,4.78,0.95,95,3.83
AL-055,Etowah County,Alabama,4.96,1.2,101,3.76
AL-057,Fayette County,Alabama,4.59,0.31,83,4.28
AL-059,Franklin County,Alabama,4.55,0.19,78,4.36
AL-061,Geneva County,Alabama,2.61,-1,56,3.61
AL-063,Greene County,Alabama,5.05,1.15,99,3.9
AL-065,Hale County,Alabama,4.79,1.02,96,3.77
AL-067,Henry County,Alabama,3.61,0.32,82,3.29
AL-069,Houston County,Alabama,2.29,-0.94,51,3.23
AL-071,Jackson County,Alabama,4.63,0.42,82,4.21
AL-073,Jefferson County,Alabama,4.93,0.88,99,4.05
AL-075,Lamar County,Alabama,4.51,0.2,84,4.31
AL-077,Lauderdale County,Alabama,4.31,-0.06,78,4.37
AL-079,Lawrence County,Alabama,4.45,0.21,79,4.24
AL-081,Lee County,Alabama,6.49,2.98,116,3.51
AL-083,Limestone County,Alabama,4.87,0.61,87,4.26
AL-085,Lowndes County,Alabama,4.83,1.23,103,3.6
AL-087,Macon County,Alabama,6.07,2.52,113,3.55
AL-089,Madison County,Alabama,4.77,0.46,85,4.31
AL-091,Marengo County,Alabama,4.71,0.91,93,3.8
AL-093,Marion County,Alabama,4.81,0.45,85,4.36
AL-095,Marshall County,Alabama,4.52,0.46,86,4.06
AL-097,Mobile County,Alabama,6.13,2.3,107,3.83
AL-099,Monroe County,Alabama,5.89,2.08,110,3.81
AL-101,Montgomery County,Alabama,4.93,1.35,104,3.58
AL-103,Morgan County,Alabama,4.79,0.55,88,4.24
AL-105,Perry County,Alabama,4.41,0.76,92,3.65
AL-107,Pickens County,Alabama,4.68,0.57,91,4.11
AL-109,Pike County,Alabama,4.2,0.57,88,3.63
AL-111,Randolph County,Alabama,4.95,1.2,103,3.75
AL-113,Russell County,Alabama,6.22,2.95,117,3.27
AL-115,St. Clair County,Alabama,4.89,1.09,102,3.8
AL-117,Shelby County,Alabama,4.45,0.65,93,3.8
AL-119,Sumter County,Alabama,4.13,0.21,84,3.92
AL-121,Talladega County,Alabama,3.87,0.2,82,3.67
AL-123,Tallapoosa County,Alabama,5.36,1.71,110,3.65
AL-125,Tuscaloosa County,Alabama,4.43,0.34,86,4.09
AL-127,Walker County,Alabama,5,0.87,94,4.13
AL-129,Washington County,Alabama,6.03,1.99,106,4.04
AL-131,Wilcox County,Alabama,5.06,1.36,103,3.7
AL-133,Winston County,Alabama,5.2,1,96,4.2
AZ-001,Apache County,Arizona,0.45,-0.46,43,0.91
AZ-003,Cochise County,Arizona,0.1,-0.67,29,0.77
AZ-005,Coconino County,Arizona,0.64,-0.28,57,0.92
AZ-007,Gila County,Arizona,1,-0.55,57,1.55
AZ-009,Graham County,Arizona,0.15,-0.86,28,1.01
AZ-011,Greenlee County,Arizona,0.26,-0.81,32,1.07
AZ-012,La Paz County,Arizona,0.13,-0.27,57,0.4
AZ-013,Maricopa County,Arizona,0.28,-0.42,52,0.7
AZ-015,Mohave County,Arizona,0.69,-0.05,77,0.74
AZ-017,Navajo County,Arizona,0.51,-0.35,55,0.86
AZ-019,Pima County,Arizona,0.05,-0.71,27,0.76
AZ-021,Pinal County,Arizona,0.25,-0.68,42,0.93
AZ-023,Santa Cruz County,Arizona,0.1,-0.81,29,0.91
AZ-025,Yavapai County,Arizona,0.63,-0.46,57,1.09
AZ-027,Yuma County,Arizona,0,-0.31,1,0.31
AR-001,Arkansas County,Arkansas,4.94,0.5,88,4.44
AR-003,Ashley County,Arkansas,5.02,0.47,88,4.55
AR-005,Baxter County,Arkansas,4.56,0.86,92,3.7
AR-007,Benton County,Arkansas,4.94,1.41,102,3.53
AR-009,Boone County,Arkansas,4.2,0.56,91,3.64
AR-011,Bradley County,Arkansas,5.45,0.94,98,4.51
AR-013,Calhoun County,Arkansas,5.38,0.8,92,4.58
AR-015,Carroll County,Arkansas,4.36,0.67,91,3.69
AR-017,Chicot County,Arkansas,5.38,0.82,99,4.56
AR-019,Clark County,Arkansas,5.22,0.65,90,4.57
AR-021,Clay County,Arkansas,3.27,-0.91,59,4.18
AR-023,Cleburne County,Arkansas,4.32,-0.17,75,4.49
AR-025,Cleveland County,Arkansas,5.32,0.71,91,4.61
AR-027,Columbia County,Arkansas,4.44,-0.09,75,4.53
AR-029,Conway County,Arkansas,4.45,0.11,77,4.34
AR-031,Craighead County,Arkansas,2.95,-1.32,47,4.27
AR-033,Crawford County,Arkansas,5.31,1.4,100,3.91
AR-035,Crittenden County,Arkansas,3.53,-0.81,62,4.34
AR-037,Cross County,Arkansas,4.13,-0.21,71,4.34
AR-039,Dallas County,Arkansas,4.94,0.36,83,4.58
AR-041,Desha County,Arkansas,5.28,0.8,93,4.48
AR-043,Drew County,Arkansas,5.23,0.71,97,4.52
AR-045,Faulkner County,Arkansas,4.51,-0.03,75,4.54
AR-047,Franklin County,Arkansas,4.59,0.6,91,3.99
AR-049,Fulton County,Arkansas,4.4,0.48,77,3.92
AR-051,Garland County,Arkansas,4.28,-0.31,73,4.59
AR-053,Grant County,Arkansas,4.6,0.03,77,4.57
AR-055,Greene County,Arkansas,2.99,-1.27,48,4.26
AR-057,Hempstead County,Arkansas,5.31,0.83,91,4.48
AR-059,Hot Spring County,Arkansas,4.65,0.01,79,4.64
AR-061,Howard County,Arkansas,5.16,0.71,90,4.45
AR-063,Independence County,Arkansas,3.78,-0.49,65,4.27
AR-065,Izard County,Arkansas,4.24,0.19,78,4.05
AR-067,Jackson County,Arkansas,4.1,-0.17,72,4.27
AR-069,Jefferson County,Arkansas,5.15,0.64,86,4.51
AR-071,Johnson County,Arkansas,5.16,0.97,95,4.19
AR-073,Lafayette County,Arkansas,4.57,0.14,83,4.43
AR-075,Lawrence County,Arkansas,3.58,-0.7,59,4.28
AR-077,Lee County,Arkansas,4.25,-0.1,74,4.35
AR-079,Lincoln County,Arkansas,5.92,1.41,100,4.51
AR-081,Little River County,Arkansas,5.53,1.22,97,4.31
AR-083,Logan County,Arkansas,3.81,-0.05,81,3.86
AR-085,Lonoke County,Arkansas,4.21,-0.22,72,4.43
AR-087,Madison County,Arkansas,4.7,0.73,91,3.97
AR-089,Marion County,Arkansas,4.14,0.52,91,3.62
AR-091,Miller County,Arkansas,4.99,0.64,87,4.35
AR-093,Mississippi County,Arkansas,2.96,-1.21,52,4.17
AR-095,Monroe County,Arkansas,4.39,0.04,78,4.35
AR-097,Montgomery County,Arkansas,3.61,-0.84,64,4.45
AR-099,Nevada County,Arkansas,5.1,0.56,87,4.54
AR-101,Newton County,Arkansas,3.3,-0.77,64,4.07
