November 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,55.6,1.3,82,54.3
AL-003,Baldwin County,Alabama,60.7,2.4,100,58.3
AL-005,Barbour County,Alabama,57.2,1.4,86,55.8
AL-007,Bibb County,Alabama,54.4,1.6,83,52.8
AL-009,Blount County,Alabama,52.3,1.7,88,50.6
AL-011,Bullock County,Alabama,56.8,1.7,88,55.1
AL-013,Butler County,Alabama,56.8,1.5,85,55.3
AL-015,Calhoun County,Alabama,53.4,2.4,94,51
AL-017,Chambers County,Alabama,54.1,2,93,52.1
AL-019,Cherokee County,Alabama,52.9,2.4,97,50.5
AL-021,Chilton County,Alabama,54.6,1.6,85,53
AL-023,Choctaw County,Alabama,56.6,1.8,87,54.8
AL-025,Clarke County,Alabama,57.4,2,91,55.4
AL-027,Clay County,Alabama,53.5,2.3,96,51.2
AL-029,Cleburne County,Alabama,53.1,2.9,104,50.2
AL-031,Coffee County,Alabama,58.7,2.2,95,56.5
AL-033,Colbert County,Alabama,51.2,1.6,85,49.6
AL-035,Conecuh County,Alabama,58.3,2.1,99,56.2
AL-037,Coosa County,Alabama,54.8,2,94,52.8
AL-039,Covington County,Alabama,59,2.5,102,56.5
AL-041,Crenshaw County,Alabama,57,1.7,87,55.3
AL-043,Cullman County,Alabama,51.9,1.5,85,50.4
AL-045,Dale County,Alabama,59.1,2.3,94,56.8
AL-047,Dallas County,Alabama,55.9,1.2,81,54.7
AL-049,DeKalb County,Alabama,52.1,2.6,101,49.5
AL-051,Elmore County,Alabama,55.9,1.5,86,54.4
AL-053,Escambia County,Alabama,59.5,2.7,102,56.8
AL-055,Etowah County,Alabama,52.9,2.1,90,50.8
AL-057,Fayette County,Alabama,53.8,2.1,92,51.7
AL-059,Franklin County,Alabama,51.5,1.7,86,49.8
AL-061,Geneva County,Alabama,59.8,2.6,103,57.2
AL-063,Greene County,Alabama,54.8,1,79,53.8
AL-065,Hale County,Alabama,54.8,0.9,78,53.9
AL-067,Henry County,Alabama,59,2.2,92,56.8
AL-069,Houston County,Alabama,60.4,2.8,104,57.6
AL-071,Jackson County,Alabama,51.8,2.3,93,49.5
AL-073,Jefferson County,Alabama,53.6,1.9,89,51.7
AL-075,Lamar County,Alabama,54,2.2,91,51.8
