December 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,50.1,2.9,96,47.2
AL-003,Baldwin County,Alabama,55.4,3.1,98,52.3
AL-005,Barbour County,Alabama,49.8,1,79,48.8
AL-007,Bibb County,Alabama,48.8,3.2,101,45.6
AL-009,Blount County,Alabama,46.4,3.3,98,43.1
AL-011,Bullock County,Alabama,49.5,1.6,83,47.9
AL-013,Butler County,Alabama,50.1,1.5,81,48.6
AL-015,Calhoun County,Alabama,47.2,3.6,99,43.6
AL-017,Chambers County,Alabama,47.4,2.8,95,44.6
AL-019,Cherokee County,Alabama,45,2.3,87,42.7
AL-021,Chilton County,Alabama,48.8,3,96,45.8
AL-023,Choctaw County,Alabama,51.4,3,99,48.4
AL-025,Clarke County,Alabama,51.5,2.5,95,49
AL-027,Clay County,Alabama,47.6,3.7,103,43.9
AL-029,Cleburne County,Alabama,46.4,3.7,101,42.7
AL-031,Coffee County,Alabama,51.4,1.6,82,49.8
AL-033,Colbert County,Alabama,45,3.1,96,41.9
AL-035,Conecuh County,Alabama,51.7,1.8,86,49.9
AL-037,Coosa County,Alabama,48.6,3.1,96,45.5
AL-039,Covington County,Alabama,52.2,2.2,90,50
AL-041,Crenshaw County,Alabama,49.8,1.4,80,48.4
AL-043,Cullman County,Alabama,46.3,3.6,104,42.7
AL-045,Dale County,Alabama,51.3,1.1,81,50.2
AL-047,Dallas County,Alabama,50.7,2.8,98,47.9
AL-049,DeKalb County,Alabama,44,2.4,90,41.6
AL-051,Elmore County,Alabama,50,2.9,95,47.1
AL-053,Escambia County,Alabama,53.3,2.5,94,50.8
AL-055,Etowah County,Alabama,45.8,2.5,88,43.3
AL-057,Fayette County,Alabama,47.4,3,98,44.4
AL-059,Franklin County,Alabama,45.4,3.3,98,42.1
AL-061,Geneva County,Alabama,52.9,2.2,88,50.7
AL-063,Greene County,Alabama,49.2,2.6,96,46.6
AL-065,Hale County,Alabama,49.1,2.4,91,46.7
AL-067,Henry County,Alabama,51.1,1.1,79,50
AL-069,Houston County,Alabama,52.5,1.4,82,51.1
AL-071,Jackson County,Alabama,43.8,2.3,91,41.5
AL-073,Jefferson County,Alabama,48.4,3.9,108,44.5
AL-075,Lamar County,Alabama,47.6,3.2,99,44.4
AL-077,Lauderdale County,Alabama,43.8,2.4,89,41.4
AL-079,Lawrence County,Alabama,44.6,2.3,92,42.3
AL-081,Lee County,Alabama,48.8,2.3,87,46.5
AL-083,Limestone County,Alabama,44,2.2,89,41.8
AL-085,Lowndes County,Alabama,50.7,2.5,92,48.2
AL-087,Macon County,Alabama,49.6,2,85,47.6
AL-089,Madison County,Alabama,44.4,2.3,90,42.1
AL-091,Marengo County,Alabama,50.3,2.5,93,47.8
AL-093,Marion County,Alabama,46.1,3.1,98,43
AL-095,Marshall County,Alabama,45.2,2.5,91,42.7
AL-097,Mobile County,Alabama,54.8,3,99,51.8
AL-099,Monroe County,Alabama,51.7,2.2,90,49.5
AL-101,Montgomery County,Alabama,50.7,2.7,94,48
AL-103,Morgan County,Alabama,45.2,2.8,93,42.4
AL-105,Perry County,Alabama,49.6,2.8,96,46.8
AL-107,Pickens County,Alabama,48.8,3.2,100,45.6
AL-109,Pike County,Alabama,49.6,0.9,78,48.7
AL-111,Randolph County,Alabama,46.9,3.5,99,43.4
AL-113,Russell County,Alabama,49.8,1.9,87,47.9
AL-115,St. Clair County,Alabama,47,3.1,96,43.9
AL-117,Shelby County,Alabama,48.5,3.5,106,45
AL-119,Sumter County,Alabama,49.9,2.7,97,47.2
AL-121,Talladega County,Alabama,48.2,3.4,103,44.8
AL-123,Tallapoosa County,Alabama,48.1,2.7,93,45.4
AL-125,Tuscaloosa County,Alabama,48.9,3.2,99,45.7
AL-127,Walker County,Alabama,47.5,3.4,101,44.1
AL-129,Washington County,Alabama,52.5,2.7,99,49.8
AL-131,Wilcox County,Alabama,51.1,2.5,94,48.6
AL-133,Winston County,Alabama,45.4,2.7,95,42.7
AZ-001,Apache County,Arizona,33.5,2.6,96,30.9
AZ-003,Cochise County,Arizona,45.1,1.1,79,44
AZ-005,Coconino County,Arizona,35,2.1,96,32.9
AZ-007,Gila County,Arizona,43.3,1.6,92,41.7
