January 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,45.1,-1.2,58,46.3
AL-003,Baldwin County,Alabama,50.1,-0.9,59,51
AL-005,Barbour County,Alabama,45.5,-2.3,41,47.8
AL-007,Bibb County,Alabama,43.2,-1.1,58,44.3
AL-009,Blount County,Alabama,41.2,-0.4,62,41.6
AL-011,Bullock County,Alabama,44.9,-1.9,45,46.8
AL-013,Butler County,Alabama,46.3,-1.2,53,47.5
AL-015,Calhoun County,Alabama,41.9,-0.4,61,42.3
AL-017,Chambers County,Alabama,42.8,-0.9,56,43.7
AL-019,Cherokee County,Alabama,40.5,-0.9,57,41.4
AL-021,Chilton County,Alabama,44,-0.7,62,44.7
AL-023,Choctaw County,Alabama,46.7,-0.4,62,47.1
AL-025,Clarke County,Alabama,47.5,-0.4,63,47.9
AL-027,Clay County,Alabama,41.7,-1.1,58,42.8
AL-029,Cleburne County,Alabama,41.3,-0.2,61,41.5
AL-031,Coffee County,Alabama,46.4,-2.3,42,48.7
AL-033,Colbert County,Alabama,38.6,-1.3,46,39.9
AL-035,Conecuh County,Alabama,47.8,-0.9,58,48.7
AL-037,Coosa County,Alabama,43.3,-1.2,58,44.5
AL-039,Covington County,Alabama,47.2,-1.7,49,48.9
AL-041,Crenshaw County,Alabama,45.6,-1.8,48,47.4
AL-043,Cullman County,Alabama,40,-1.1,49,41.1
AL-045,Dale County,Alabama,46.7,-2.4,41,49.1
AL-047,Dallas County,Alabama,45.6,-1.2,59,46.8
AL-049,DeKalb County,Alabama,38.8,-1.2,52,40
AL-051,Elmore County,Alabama,44.8,-1.3,57,46.1
AL-053,Escambia County,Alabama,48.6,-1.1,57,49.7
AL-055,Etowah County,Alabama,41.4,-0.5,62,41.9
AL-057,Fayette County,Alabama,41.7,-1.1,56,42.8
AL-059,Franklin County,Alabama,38.8,-1.4,50,40.2
AL-061,Geneva County,Alabama,47.5,-2.2,42,49.7
AL-063,Greene County,Alabama,44,-1.2,55,45.2
AL-065,Hale County,Alabama,43.6,-1.7,49,45.3
AL-067,Henry County,Alabama,46.8,-2.3,41,49.1
AL-069,Houston County,Alabama,48.2,-2,46,50.2
AL-071,Jackson County,Alabama,38.8,-1.1,54,39.9
AL-073,Jefferson County,Alabama,42.2,-0.9,59,43.1
AL-075,Lamar County,Alabama,41.8,-1,55,42.8
AL-077,Lauderdale County,Alabama,38,-1.4,45,39.4
AL-079,Lawrence County,Alabama,38.4,-2,41,40.4
AL-081,Lee County,Alabama,44,-1.6,51,45.6
AL-083,Limestone County,Alabama,37.8,-2.1,37,39.9
AL-085,Lowndes County,Alabama,45.9,-1.3,57,47.2
AL-087,Macon County,Alabama,44.6,-1.9,45,46.5
AL-089,Madison County,Alabama,38.2,-2,38,40.2
AL-091,Marengo County,Alabama,45.4,-1.2,58,46.6
AL-093,Marion County,Alabama,40,-1.3,52,41.3
AL-095,Marshall County,Alabama,40.3,-0.7,59,41
AL-097,Mobile County,Alabama,48.7,-1.8,46,50.5
AL-099,Monroe County,Alabama,47.8,-0.6,63,48.4
AL-101,Montgomery County,Alabama,45.7,-1.4,53,47.1
AL-103,Morgan County,Alabama,39.1,-1.5,45,40.6
AL-105,Perry County,Alabama,44.3,-1.3,58,45.6
AL-107,Pickens County,Alabama,43,-1.1,57,44.1
AL-109,Pike County,Alabama,45.5,-2.2,45,47.7
AL-111,Randolph County,Alabama,42.1,-0.2,62,42.3
AL-113,Russell County,Alabama,44.8,-2.2,42,47
AL-115,St. Clair County,Alabama,41.8,-0.7,62,42.5
AL-117,Shelby County,Alabama,42.7,-1,58,43.7
AL-119,Sumter County,Alabama,44.8,-1,59,45.8
AL-121,Talladega County,Alabama,42.3,-1.3,56,43.6
AL-123,Tallapoosa County,Alabama,43,-1.4,55,44.4
AL-125,Tuscaloosa County,Alabama,43.1,-1.1,57,44.2
AL-127,Walker County,Alabama,41.4,-1.2,56,42.6
AL-129,Washington County,Alabama,48.2,-0.4,61,48.6
AL-131,Wilcox County,Alabama,46.6,-0.9,61,47.5
AL-133,Winston County,Alabama,39.2,-1.7,45,40.9
AZ-001,Apache County,Arizona,32.2,2.5,88,29.7
AZ-003,Cochise County,Arizona,44.8,1.3,86,43.5
AZ-005,Coconino County,Arizona,35.3,3.4,107,31.9
AZ-007,Gila County,Arizona,44.3,3.4,109,40.9
AZ-009,Graham County,Arizona,44,1.4,84,42.6
AZ-011,Greenlee County,Arizona,41,2.6,100,38.4
AZ-012,La Paz County,Arizona,54.5,3.3,111,51.2
AZ-013,Maricopa County,Arizona,53.7,2.9,104,50.8
AZ-015,Mohave County,Arizona,45.5,3.2,107,42.3
AZ-017,Navajo County,Arizona,33.1,2.7,91,30.4
AZ-019,Pima County,Arizona,52,2.4,102,49.6
AZ-021,Pinal County,Arizona,51.9,2.4,100,49.5
