February 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,51.9,2.7,94,49.2
AL-003,Baldwin County,Alabama,55.7,2.1,90,53.6
AL-005,Barbour County,Alabama,53.4,2.8,95,50.6
AL-007,Bibb County,Alabama,49.7,2.4,91,47.3
AL-009,Blount County,Alabama,47.9,3.4,98,44.5
AL-011,Bullock County,Alabama,52.3,2.6,92,49.7
AL-013,Butler County,Alabama,52,1.5,86,50.5
AL-015,Calhoun County,Alabama,48.6,3.3,98,45.3
AL-017,Chambers County,Alabama,49.3,2.8,95,46.5
AL-019,Cherokee County,Alabama,47.8,3.4,98,44.4
AL-021,Chilton County,Alabama,51,3.4,98,47.6
AL-023,Choctaw County,Alabama,52,1.9,89,50.1
AL-025,Clarke County,Alabama,52.8,2,89,50.8
AL-027,Clay County,Alabama,48,2.3,91,45.7
AL-029,Cleburne County,Alabama,48.1,3.8,100,44.4
AL-031,Coffee County,Alabama,53.9,2.3,91,51.6
AL-033,Colbert County,Alabama,44.6,1.7,80,42.9
AL-035,Conecuh County,Alabama,53.9,2.2,90,51.7
AL-037,Coosa County,Alabama,49.9,2.5,95,47.4
AL-039,Covington County,Alabama,53.8,1.9,90,51.9
AL-041,Crenshaw County,Alabama,52.1,1.7,87,50.4
AL-043,Cullman County,Alabama,46.5,2.5,89,44
AL-045,Dale County,Alabama,54.5,2.6,96,51.9
AL-047,Dallas County,Alabama,51.9,2.2,90,49.7
AL-049,DeKalb County,Alabama,45.4,2.5,91,42.9
AL-051,Elmore County,Alabama,51.5,2.5,95,49
AL-053,Escambia County,Alabama,55.1,2.5,93,52.6
AL-055,Etowah County,Alabama,47.8,3,96,44.8
AL-057,Fayette County,Alabama,47,1.2,79,45.8
AL-059,Franklin County,Alabama,44.6,1.4,76,43.2
AL-061,Geneva County,Alabama,54.4,1.9,88,52.5
AL-063,Greene County,Alabama,49.3,1.1,77,48.2
AL-065,Hale County,Alabama,49.5,1.3,79,48.2
AL-067,Henry County,Alabama,54.8,3.1,97,51.7
AL-069,Houston County,Alabama,55.3,2.4,93,52.9
AL-071,Jackson County,Alabama,44.6,1.8,85,42.8
AL-073,Jefferson County,Alabama,48.7,2.7,90,46
AL-075,Lamar County,Alabama,47.2,1.3,80,45.9
AL-077,Lauderdale County,Alabama,43.8,1.4,79,42.4
AL-079,Lawrence County,Alabama,44.4,1.1,74,43.3
AL-081,Lee County,Alabama,50.5,2.3,93,48.2
AL-083,Limestone County,Alabama,43.6,0.7,69,42.9
AL-085,Lowndes County,Alabama,52.1,1.9,88,50.2
AL-087,Macon County,Alabama,51.5,2.1,89,49.4
AL-089,Madison County,Alabama,44.3,1.2,74,43.1
AL-091,Marengo County,Alabama,51.2,1.7,88,49.5
AL-093,Marion County,Alabama,45.3,1,76,44.3
AL-095,Marshall County,Alabama,46.4,2.4,91,44
AL-097,Mobile County,Alabama,54.6,1.4,85,53.2
AL-099,Monroe County,Alabama,53.6,2.4,92,51.2
AL-101,Montgomery County,Alabama,52.3,2.3,90,50
AL-103,Morgan County,Alabama,45.2,1.6,83,43.6
AL-105,Perry County,Alabama,50.6,2.1,91,48.5
AL-107,Pickens County,Alabama,48.6,1.5,84,47.1
AL-109,Pike County,Alabama,52.9,2.3,91,50.6
AL-111,Randolph County,Alabama,48.3,3.1,98,45.2
AL-113,Russell County,Alabama,51.8,2.2,92,49.6
AL-115,St. Clair County,Alabama,48.5,3,97,45.5
AL-117,Shelby County,Alabama,49.4,2.7,94,46.7
AL-119,Sumter County,Alabama,50.2,1.3,85,48.9
AL-121,Talladega County,Alabama,48.8,2.2,90,46.6
AL-123,Tallapoosa County,Alabama,49.5,2.2,89,47.3
AL-125,Tuscaloosa County,Alabama,48.8,1.7,83,47.1
AL-127,Walker County,Alabama,47,1.5,82,45.5
AL-129,Washington County,Alabama,53.4,1.8,89,51.6
AL-131,Wilcox County,Alabama,52.5,2.2,92,50.3
AL-133,Winston County,Alabama,44.8,1,76,43.8
AZ-001,Apache County,Arizona,32.2,-2.3,31,34.5
AZ-003,Cochise County,Arizona,44.4,-2.5,24,46.9
AZ-005,Coconino County,Arizona,36.1,-0.4,55,36.5
