March 2022 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,6.94,0.83,89,6.11
AL-003,Baldwin County,Alabama,4.81,-1.33,52,6.14
AL-005,Barbour County,Alabama,6.38,0.57,84,5.81
AL-007,Bibb County,Alabama,8.19,1.85,103,6.34
AL-009,Blount County,Alabama,8.79,2.53,107,6.26
AL-011,Bullock County,Alabama,5.77,-0.37,71,6.14
AL-013,Butler County,Alabama,7.07,0.76,87,6.31
AL-015,Calhoun County,Alabama,7.93,1.77,99,6.16
AL-017,Chambers County,Alabama,6.52,0.23,76,6.29
AL-019,Cherokee County,Alabama,6.86,0.76,86,6.1
AL-021,Chilton County,Alabama,8.25,2,103,6.25
AL-023,Choctaw County,Alabama,7.17,0.84,89,6.33
AL-025,Clarke County,Alabama,5.29,-1.02,55,6.31
AL-027,Clay County,Alabama,9.09,2.61,110,6.48
AL-029,Cleburne County,Alabama,8.56,2.37,106,6.19
AL-031,Coffee County,Alabama,7.43,1.42,100,6.01
AL-033,Colbert County,Alabama,7.18,1.18,97,6
AL-035,Conecuh County,Alabama,6.44,0.04,74,6.4
AL-037,Coosa County,Alabama,7.74,1.44,94,6.3
AL-039,Covington County,Alabama,6.65,0.46,88,6.19
AL-041,Crenshaw County,Alabama,7.05,0.72,85,6.33
AL-043,Cullman County,Alabama,9.05,2.86,109,6.19
AL-045,Dale County,Alabama,7.17,1.48,100,5.69
AL-047,Dallas County,Alabama,7.01,0.9,89,6.11
AL-049,DeKalb County,Alabama,6.94,0.7,89,6.24
AL-051,Elmore County,Alabama,6.42,0.22,82,6.2
AL-053,Escambia County,Alabama,5.95,-0.34,72,6.29
AL-055,Etowah County,Alabama,7.1,0.84,88,6.26
AL-057,Fayette County,Alabama,7.97,1.79,100,6.18
AL-059,Franklin County,Alabama,7.92,1.8,101,6.12
AL-061,Geneva County,Alabama,6.67,0.95,89,5.72
AL-063,Greene County,Alabama,7.2,1.25,96,5.95
AL-065,Hale County,Alabama,7.58,1.38,98,6.2
AL-067,Henry County,Alabama,6.79,1.16,89,5.63
AL-069,Houston County,Alabama,6.98,1.45,96,5.53
AL-071,Jackson County,Alabama,7.07,0.95,93,6.12
AL-073,Jefferson County,Alabama,8.76,2.53,109,6.23
AL-075,Lamar County,Alabama,8.24,2.23,108,6.02
AL-077,Lauderdale County,Alabama,6.93,0.86,96,6.07
AL-079,Lawrence County,Alabama,8.46,2.59,111,5.87
AL-081,Lee County,Alabama,5.69,-0.58,66,6.27
AL-083,Limestone County,Alabama,7.8,1.81,102,5.99
AL-085,Lowndes County,Alabama,6.23,0.16,79,6.07
AL-087,Macon County,Alabama,5.56,-0.65,66,6.21
AL-089,Madison County,Alabama,7.83,1.79,102,6.04
