May 2022 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,5.25,1.34,94,3.91
AL-003,Baldwin County,Alabama,7.35,2.84,109,4.51
AL-005,Barbour County,Alabama,5.13,1.27,104,3.86
AL-007,Bibb County,Alabama,4.19,-0.06,69,4.25
AL-009,Blount County,Alabama,3.79,-0.65,51,4.44
AL-011,Bullock County,Alabama,4.45,0.76,89,3.69
AL-013,Butler County,Alabama,6.09,1.95,109,4.14
AL-015,Calhoun County,Alabama,5.91,1.81,104,4.1
AL-017,Chambers County,Alabama,2.73,-1.13,38,3.86
AL-019,Cherokee County,Alabama,4.83,0.7,86,4.13
AL-021,Chilton County,Alabama,5.13,1.13,93,4
AL-023,Choctaw County,Alabama,4.35,-0.22,72,4.57
AL-025,Clarke County,Alabama,4.52,-0.15,76,4.67
AL-027,Clay County,Alabama,5.37,1.36,95,4.01
AL-029,Cleburne County,Alabama,5.44,1.32,94,4.12
AL-031,Coffee County,Alabama,5.59,1.58,103,4.01
AL-033,Colbert County,Alabama,3.47,-0.98,46,4.45
AL-035,Conecuh County,Alabama,6.52,2.15,108,4.37
AL-037,Coosa County,Alabama,5.3,1.39,96,3.91
AL-039,Covington County,Alabama,6,1.74,103,4.26
AL-041,Crenshaw County,Alabama,5.55,1.47,100,4.08
AL-043,Cullman County,Alabama,3.43,-1.14,43,4.57
AL-045,Dale County,Alabama,5.63,1.74,107,3.89
AL-047,Dallas County,Alabama,5.97,1.9,103,4.07
AL-049,DeKalb County,Alabama,4.63,0.36,84,4.27
AL-051,Elmore County,Alabama,4.51,0.75,90,3.76
AL-053,Escambia County,Alabama,5.97,1.45,100,4.52
AL-055,Etowah County,Alabama,4.97,0.74,85,4.23
AL-057,Fayette County,Alabama,4.87,0.21,75,4.66
AL-059,Franklin County,Alabama,3.52,-0.98,47,4.5
AL-061,Geneva County,Alabama,5.96,1.92,108,4.04
AL-063,Greene County,Alabama,4.42,0.21,82,4.21
AL-065,Hale County,Alabama,5.02,0.88,88,4.14
AL-067,Henry County,Alabama,6.18,2.39,111,3.79
AL-069,Houston County,Alabama,7.12,3.24,119,3.88
AL-071,Jackson County,Alabama,4.83,0.54,86,4.29
AL-073,Jefferson County,Alabama,3.23,-1.11,45,4.34
AL-075,Lamar County,Alabama,5.54,1,96,4.54
AL-077,Lauderdale County,Alabama,3.81,-0.64,53,4.45
AL-079,Lawrence County,Alabama,3.95,-0.52,55,4.47
AL-081,Lee County,Alabama,3.45,-0.31,67,3.76
AL-083,Limestone County,Alabama,4.25,-0.3,64,4.55
AL-085,Lowndes County,Alabama,5.38,1.5,97,3.88
AL-087,Macon County,Alabama,3.62,-0.07,77,3.69
