June 2022 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,2.42,-1.58,28,4
AL-003,Baldwin County,Alabama,4.47,-0.92,52,5.39
AL-005,Barbour County,Alabama,2.58,-1.56,26,4.14
AL-007,Bibb County,Alabama,4,-0.15,71,4.15
AL-009,Blount County,Alabama,4.51,0.48,84,4.03
AL-011,Bullock County,Alabama,2.71,-1.27,33,3.98
AL-013,Butler County,Alabama,2.07,-2.35,13,4.42
AL-015,Calhoun County,Alabama,4.81,0.75,90,4.06
AL-017,Chambers County,Alabama,3.74,-0.35,64,4.09
AL-019,Cherokee County,Alabama,3.14,-0.8,50,3.94
AL-021,Chilton County,Alabama,3.64,-0.42,65,4.06
AL-023,Choctaw County,Alabama,2,-2.15,18,4.15
AL-025,Clarke County,Alabama,3.14,-1.4,31,4.54
AL-027,Clay County,Alabama,5.77,1.36,100,4.41
AL-029,Cleburne County,Alabama,3.99,-0.23,66,4.22
AL-031,Coffee County,Alabama,1.92,-2.8,5,4.72
AL-033,Colbert County,Alabama,2.71,-1.21,34,3.92
AL-035,Conecuh County,Alabama,2.22,-2.56,16,4.78
AL-037,Coosa County,Alabama,6.38,2.16,111,4.22
AL-039,Covington County,Alabama,2.42,-2.6,13,5.02
AL-041,Crenshaw County,Alabama,2.32,-2.15,19,4.47
AL-043,Cullman County,Alabama,4.55,0.34,82,4.21
AL-045,Dale County,Alabama,2.44,-2.12,14,4.56
AL-047,Dallas County,Alabama,2.39,-1.54,27,3.93
AL-049,DeKalb County,Alabama,2.78,-1.49,33,4.27
AL-051,Elmore County,Alabama,4.04,0,72,4.04
AL-053,Escambia County,Alabama,3.53,-1.73,31,5.26
AL-055,Etowah County,Alabama,3.9,-0.07,71,3.97
AL-057,Fayette County,Alabama,2.44,-1.67,23,4.11
AL-059,Franklin County,Alabama,3.96,-0.05,67,4.01
AL-061,Geneva County,Alabama,2.35,-2.59,10,4.94
AL-063,Greene County,Alabama,1.43,-2.28,9,3.71
AL-065,Hale County,Alabama,1.8,-2.07,17,3.87
AL-067,Henry County,Alabama,3.01,-1.42,34,4.43
AL-069,Houston County,Alabama,3.04,-1.55,28,4.59
AL-071,Jackson County,Alabama,2.99,-1.24,34,4.23
AL-073,Jefferson County,Alabama,6.95,2.82,116,4.13
AL-075,Lamar County,Alabama,2.1,-1.95,19,4.05
AL-077,Lauderdale County,Alabama,1.76,-2.27,10,4.03
AL-079,Lawrence County,Alabama,2.36,-1.76,22,4.12
AL-081,Lee County,Alabama,3.06,-0.93,45,3.99
AL-083,Limestone County,Alabama,1.19,-2.96,3,4.15
AL-085,Lowndes County,Alabama,2.81,-1.16,38,3.97
AL-087,Macon County,Alabama,3.02,-0.93,41,3.95
AL-089,Madison County,Alabama,2.68,-1.59,26,4.27
AL-091,Marengo County,Alabama,1.63,-2.32,10,3.95
AL-093,Marion County,Alabama,3.42,-0.6,48,4.02
AL-095,Marshall County,Alabama,5.05,0.97,92,4.08
AL-097,Mobile County,Alabama,4.19,-1.19,46,5.38
AL-099,Monroe County,Alabama,2.66,-2.02,22,4.68
AL-101,Montgomery County,Alabama,3.69,-0.41,67,4.1
AL-103,Morgan County,Alabama,2.64,-1.6,27,4.24
AL-105,Perry County,Alabama,2.73,-1.2,35,3.93
AL-107,Pickens County,Alabama,1.74,-2.02,12,3.76
AL-109,Pike County,Alabama,2.27,-1.92,17,4.19
AL-111,Randolph County,Alabama,3.94,-0.34,60,4.28
AL-113,Russell County,Alabama,1.8,-1.88,10,3.68
AL-115,St. Clair County,Alabama,5.38,1.34,105,4.04
AL-117,Shelby County,Alabama,6.78,2.59,115,4.19
AL-119,Sumter County,Alabama,1.36,-2.47,8,3.83
AL-121,Talladega County,Alabama,6.56,2.38,111,4.18
AL-123,Tallapoosa County,Alabama,4.59,0.43,85,4.16
AL-125,Tuscaloosa County,Alabama,3,-1,48,4
AL-127,Walker County,Alabama,4.67,0.52,88,4.15
AL-129,Washington County,Alabama,3.38,-1.37,33,4.75
AL-131,Wilcox County,Alabama,2.45,-1.69,25,4.14
AL-133,Winston County,Alabama,4.23,-0.1,73,4.33
AZ-001,Apache County,Arizona,0.84,0.38,108,0.46
AZ-003,Cochise County,Arizona,1.85,1.33,127,0.52
AZ-005,Coconino County,Arizona,0.75,0.38,115,0.37
AZ-007,Gila County,Arizona,0.91,0.54,114,0.37
AZ-009,Graham County,Arizona,1.36,0.92,125,0.44
AZ-011,Greenlee County,Arizona,2.06,1.5,128,0.56
AZ-012,La Paz County,Arizona,0.04,0,100,0.04
AZ-013,Maricopa County,Arizona,0.22,0.14,122,0.08
AZ-015,Mohave County,Arizona,0.27,0.06,89,0.21
AZ-017,Navajo County,Arizona,0.72,0.38,114,0.34
AZ-019,Pima County,Arizona,0.64,0.41,121,0.23
AZ-021,Pinal County,Arizona,0.65,0.48,128,0.17
AZ-023,Santa Cruz County,Arizona,1.62,1.07,121,0.55
AZ-025,Yavapai County,Arizona,0.64,0.36,113,0.28
AZ-027,Yuma County,Arizona,0.05,0.04,117,0.01
AR-001,Arkansas County,Arkansas,3.3,-0.43,63,3.73
AR-003,Ashley County,Arkansas,4.45,0.56,77,3.89
AR-005,Baxter County,Arkansas,0.54,-3.82,3,4.36
AR-007,Benton County,Arkansas,2.06,-3.05,19,5.11
AR-009,Boone County,Arkansas,1.65,-2.9,13,4.55
AR-011,Bradley County,Arkansas,4.5,0.77,86,3.73
AR-013,Calhoun County,Arkansas,3.9,0.17,72,3.73
AR-015,Carroll County,Arkansas,1.88,-3.11,12,4.99
AR-017,Chicot County,Arkansas,4.51,0.83,82,3.68
AR-019,Clark County,Arkansas,4.83,0.61,85,4.22
AR-021,Clay County,Arkansas,0.84,-3.12,6,3.96
AR-023,Cleburne County,Arkansas,2.14,-1.93,24,4.07
AR-025,Cleveland County,Arkansas,5.3,1.67,101,3.63
AR-027,Columbia County,Arkansas,2.09,-1.79,30,3.88
AR-029,Conway County,Arkansas,3.06,-1.05,43,4.11
AR-031,Craighead County,Arkansas,1.43,-2.29,16,3.72
AR-033,Crawford County,Arkansas,4.36,-0.22,70,4.58
AR-035,Crittenden County,Arkansas,2.88,-0.93,46,3.81
AR-037,Cross County,Arkansas,1.73,-2.19,20,3.92
AR-039,Dallas County,Arkansas,5.43,1.47,100,3.96
AR-041,Desha County,Arkansas,5.04,1.47,103,3.57
AR-043,Drew County,Arkansas,5.88,2.16,109,3.72
AR-045,Faulkner County,Arkansas,3.49,-0.53,59,4.02
AR-047,Franklin County,Arkansas,4.36,-0.13,74,4.49
AR-049,Fulton County,Arkansas,0.38,-3.76,2,4.14
AR-051,Garland County,Arkansas,5.71,1.29,100,4.42
AR-053,Grant County,Arkansas,4.44,0.52,85,3.92
AR-055,Greene County,Arkansas,1.44,-2.3,15,3.74
AR-057,Hempstead County,Arkansas,4.56,0.43,79,4.13
AR-059,Hot Spring County,Arkansas,5.34,1.05,94,4.29
AR-061,Howard County,Arkansas,5.28,0.94,79,4.34
AR-063,Independence County,Arkansas,0.88,-2.98,8,3.86
AR-065,Izard County,Arkansas,0.86,-3.17,5,4.03
AR-067,Jackson County,Arkansas,1.11,-2.75,7,3.86
AR-069,Jefferson County,Arkansas,3.43,-0.22,68,3.65
AR-071,Johnson County,Arkansas,3.99,-0.54,60,4.53
AR-073,Lafayette County,Arkansas,2.79,-1.11,50,3.9
AR-075,Lawrence County,Arkansas,0.7,-3.12,4,3.82
AR-077,Lee County,Arkansas,2.13,-1.61,29,3.74
AR-079,Lincoln County,Arkansas,4.72,1.07,93,3.65
AR-081,Little River County,Arkansas,3.38,-0.67,52,4.05
AR-083,Logan County,Arkansas,5.68,1.47,104,4.21
AR-085,Lonoke County,Arkansas,3.52,-0.22,70,3.74
AR-087,Madison County,Arkansas,2.9,-2.02,35,4.92
AR-089,Marion County,Arkansas,0.94,-3.41,6,4.35
AR-091,Miller County,Arkansas,3.07,-0.91,53,3.98
AR-093,Mississippi County,Arkansas,3.47,-0.18,68,3.65
AR-095,Monroe County,Arkansas,2.62,-1.13,45,3.75
AR-097,Montgomery County,Arkansas,6.15,1.69,103,4.46
AR-099,Nevada County,Arkansas,3.73,-0.38,64,4.11
AR-101,Newton County,Arkansas,2.31,-2.3,26,4.61
AR-103,Ouachita County,Arkansas,2.9,-1.04,48,3.94
AR-105,Perry County,Arkansas,4.49,0.31,79,4.18
AR-107,Phillips County,Arkansas,2.65,-1.21,40,3.86
AR-109,Pike County,Arkansas,5.11,0.72,80,4.39
AR-111,Poinsett County,Arkansas,1.61,-2.17,20,3.78
AR-113,Polk County,Arkansas,5.92,1.23,90,4.69
AR-115,Pope County,Arkansas,3.68,-0.55,56,4.23
AR-117,Prairie County,Arkansas,3.67,-0.17,69,3.84
AR-119,Pulaski County,Arkansas,4.1,0.22,74,3.88
AR-121,Randolph County,Arkansas,0.4,-3.54,1,3.94
AR-123,St. Francis County,Arkansas,2.1,-1.71,27,3.81
AR-125,Saline County,Arkansas,5.01,0.88,100,4.13
AR-127,Scott County,Arkansas,7.05,2.69,116,4.36
