June 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,82,3.7,124,78.3
AL-003,Baldwin County,Alabama,83.4,4,127,79.4
AL-005,Barbour County,Alabama,81.1,2.5,118,78.6
AL-007,Bibb County,Alabama,80.1,2.5,114,77.6
AL-009,Blount County,Alabama,78.7,2.9,118,75.8
AL-011,Bullock County,Alabama,80.8,2.7,117,78.1
AL-013,Butler County,Alabama,81.6,3.3,125,78.3
AL-015,Calhoun County,Alabama,78.2,2.2,108,76
AL-017,Chambers County,Alabama,78.6,2.5,113,76.1
AL-019,Cherokee County,Alabama,78.1,2.1,107,76
AL-021,Chilton County,Alabama,80.6,3.2,121,77.4
AL-023,Choctaw County,Alabama,82,3.4,120,78.6
AL-025,Clarke County,Alabama,81.8,3.1,119,78.7
AL-027,Clay County,Alabama,77.5,2.4,111,75.1
AL-029,Cleburne County,Alabama,77.1,2.4,110,74.7
AL-031,Coffee County,Alabama,82.7,3.9,126,78.8
AL-033,Colbert County,Alabama,78.5,2.7,114,75.8
AL-035,Conecuh County,Alabama,81.9,2.9,122,79
AL-037,Coosa County,Alabama,79.7,3,118,76.7
AL-039,Covington County,Alabama,82.4,3.4,124,79
AL-041,Crenshaw County,Alabama,81.7,3.6,126,78.1
AL-043,Cullman County,Alabama,78.5,2.9,117,75.6
AL-045,Dale County,Alabama,82.5,3.4,124,79.1
AL-047,Dallas County,Alabama,82,3.4,122,78.6
AL-049,DeKalb County,Alabama,75.7,1.2,94,74.5
AL-051,Elmore County,Alabama,81.3,3.3,122,78
AL-053,Escambia County,Alabama,82.6,3.4,125,79.2
AL-055,Etowah County,Alabama,78.1,2,105,76.1
AL-057,Fayette County,Alabama,80,2.8,113,77.2
AL-059,Franklin County,Alabama,78.1,2.5,112,75.6
AL-061,Geneva County,Alabama,82.6,3.3,124,79.3
AL-063,Greene County,Alabama,81,2.2,107,78.8
AL-065,Hale County,Alabama,80.7,2.2,110,78.5
AL-067,Henry County,Alabama,82,2.7,123,79.3
AL-069,Houston County,Alabama,82.4,2.7,123,79.7
AL-071,Jackson County,Alabama,76.2,1.4,95,74.8
AL-073,Jefferson County,Alabama,79.5,2.6,113,76.9
AL-075,Lamar County,Alabama,80.2,2.8,112,77.4
AL-077,Lauderdale County,Alabama,77.7,2.3,109,75.4
AL-079,Lawrence County,Alabama,77.8,2.1,111,75.7
AL-081,Lee County,Alabama,79.4,2.2,111,77.2
AL-083,Limestone County,Alabama,77.8,2.2,107,75.6
AL-085,Lowndes County,Alabama,82.5,3.9,126,78.6
AL-087,Macon County,Alabama,80.6,2.4,115,78.2
AL-089,Madison County,Alabama,77.8,2.2,108,75.6
AL-091,Marengo County,Alabama,81.3,2.7,117,78.6
AL-093,Marion County,Alabama,78.6,2.4,109,76.2
AL-095,Marshall County,Alabama,77.8,2.2,108,75.6
AL-097,Mobile County,Alabama,83.1,3.9,128,79.2
