October 2023 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,2.36,-0.21,67,2.57
AL-003,Baldwin County,Alabama,1.71,-1.64,35,3.35
AL-005,Barbour County,Alabama,2.44,-0.08,70,2.52
AL-007,Bibb County,Alabama,0.75,-2.05,15,2.8
AL-009,Blount County,Alabama,0.45,-2.58,9,3.03
AL-011,Bullock County,Alabama,2.44,-0.17,71,2.61
AL-013,Butler County,Alabama,1.96,-0.58,56,2.54
AL-015,Calhoun County,Alabama,0.8,-2.01,15,2.81
AL-017,Chambers County,Alabama,3.18,0.56,85,2.62
AL-019,Cherokee County,Alabama,0.6,-2.42,8,3.02
AL-021,Chilton County,Alabama,1.56,-1.11,38,2.67
AL-023,Choctaw County,Alabama,2.01,-0.7,57,2.71
AL-025,Clarke County,Alabama,2.53,-0.13,69,2.66
AL-027,Clay County,Alabama,1.54,-1.32,35,2.86
AL-029,Cleburne County,Alabama,1.19,-1.68,25,2.87
AL-031,Coffee County,Alabama,1.72,-0.92,48,2.64
AL-033,Colbert County,Alabama,0.5,-2.53,10,3.03
AL-035,Conecuh County,Alabama,1.55,-1.15,42,2.7
AL-037,Coosa County,Alabama,1.93,-0.78,50,2.71
AL-039,Covington County,Alabama,1.49,-1.33,40,2.82
AL-041,Crenshaw County,Alabama,2.16,-0.38,61,2.54
AL-043,Cullman County,Alabama,0.47,-2.69,11,3.16
AL-045,Dale County,Alabama,1.75,-0.83,50,2.58
AL-047,Dallas County,Alabama,2.59,-0.03,74,2.62
AL-049,DeKalb County,Alabama,0.54,-2.64,10,3.18
AL-051,Elmore County,Alabama,2.56,0.02,71,2.54
AL-053,Escambia County,Alabama,1.54,-1.42,38,2.96
AL-055,Etowah County,Alabama,0.54,-2.43,10,2.97
AL-057,Fayette County,Alabama,0.44,-2.6,10,3.04
AL-059,Franklin County,Alabama,0.61,-2.41,10,3.02
AL-061,Geneva County,Alabama,1.24,-1.51,38,2.75
AL-063,Greene County,Alabama,0.7,-2.03,17,2.73
AL-065,Hale County,Alabama,0.78,-1.99,16,2.77
AL-067,Henry County,Alabama,1.75,-0.68,58,2.43
AL-069,Houston County,Alabama,1.17,-1.39,33,2.56
AL-071,Jackson County,Alabama,0.56,-2.72,9,3.28
AL-073,Jefferson County,Alabama,0.43,-2.57,10,3
AL-075,Lamar County,Alabama,0.65,-2.26,12,2.91
AL-077,Lauderdale County,Alabama,0.55,-2.6,9,3.15
AL-079,Lawrence County,Alabama,0.57,-2.53,11,3.1
AL-081,Lee County,Alabama,3.26,0.68,87,2.58
AL-083,Limestone County,Alabama,0.52,-2.62,9,3.14
AL-085,Lowndes County,Alabama,2.55,0.03,74,2.52
AL-087,Macon County,Alabama,2.67,0.15,75,2.52
AL-089,Madison County,Alabama,0.54,-2.58,9,3.12
