April 2023 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,65,1.4,95,63.6
AL-003,Baldwin County,Alabama,67.8,1.4,98,66.4
AL-005,Barbour County,Alabama,64.8,0.3,75,64.5
AL-007,Bibb County,Alabama,63,0.5,78,62.5
AL-009,Blount County,Alabama,61,0.7,78,60.3
AL-011,Bullock County,Alabama,64.1,0.3,73,63.8
AL-013,Butler County,Alabama,65,0.6,78,64.4
AL-015,Calhoun County,Alabama,61.2,0.5,75,60.7
AL-017,Chambers County,Alabama,62.1,0.8,85,61.3
AL-019,Cherokee County,Alabama,60,-0.4,57,60.4
AL-021,Chilton County,Alabama,63.6,1.2,93,62.4
AL-023,Choctaw County,Alabama,64.9,0.5,75,64.4
AL-025,Clarke County,Alabama,65.4,0.7,79,64.7
AL-027,Clay County,Alabama,61.4,0.8,83,60.6
AL-029,Cleburne County,Alabama,60.5,0.8,81,59.7
AL-031,Coffee County,Alabama,65.4,0.3,74,65.1
AL-033,Colbert County,Alabama,59.4,-0.4,52,59.8
AL-035,Conecuh County,Alabama,65.7,0.6,78,65.1
AL-037,Coosa County,Alabama,63.2,1.2,92,62
AL-039,Covington County,Alabama,66,0.7,84,65.3
AL-041,Crenshaw County,Alabama,64.8,0.5,79,64.3
AL-043,Cullman County,Alabama,60.5,0.4,75,60.1
AL-045,Dale County,Alabama,65.6,0.2,74,65.4
AL-047,Dallas County,Alabama,65.3,1.3,93,64
AL-049,DeKalb County,Alabama,59,-0.2,59,59.2
AL-051,Elmore County,Alabama,64.2,0.9,82,63.3
AL-053,Escambia County,Alabama,66.5,0.8,85,65.7
AL-055,Etowah County,Alabama,60.6,0,63,60.6
AL-057,Fayette County,Alabama,61.4,-0.3,60,61.7
AL-059,Franklin County,Alabama,59.5,-0.3,61,59.8
AL-061,Geneva County,Alabama,66.2,0.3,76,65.9
AL-063,Greene County,Alabama,63.3,-0.3,65,63.6
AL-065,Hale County,Alabama,63.6,0.2,71,63.4
AL-067,Henry County,Alabama,65.9,0.5,76,65.4
AL-069,Houston County,Alabama,66.8,0.5,78,66.3
AL-071,Jackson County,Alabama,59.7,0.3,70,59.4
AL-073,Jefferson County,Alabama,62.3,0.8,81,61.5
AL-075,Lamar County,Alabama,61.4,-0.4,59,61.8
AL-077,Lauderdale County,Alabama,58.5,-1,46,59.5
AL-079,Lawrence County,Alabama,59.1,-0.8,49,59.9
AL-081,Lee County,Alabama,63.2,0.8,83,62.4
AL-083,Limestone County,Alabama,58.9,-0.9,48,59.8
AL-085,Lowndes County,Alabama,65.5,1.1,90,64.4
AL-087,Macon County,Alabama,64.1,0.6,76,63.5
AL-089,Madison County,Alabama,59.5,-0.3,61,59.8
AL-091,Marengo County,Alabama,64.6,0.5,75,64.1
AL-093,Marion County,Alabama,59.8,-0.7,54,60.5
AL-095,Marshall County,Alabama,60.4,0.3,70,60.1
AL-097,Mobile County,Alabama,67.7,1.5,99,66.2
AL-099,Monroe County,Alabama,65.8,0.9,82,64.9
AL-101,Montgomery County,Alabama,64.6,0.5,75,64.1
AL-103,Morgan County,Alabama,60,-0.1,67,60.1
AL-105,Perry County,Alabama,64,0.7,82,63.3
AL-107,Pickens County,Alabama,62.5,-0.3,60,62.8
AL-109,Pike County,Alabama,64.5,0.1,71,64.4
AL-111,Randolph County,Alabama,61.3,1.1,87,60.2
AL-113,Russell County,Alabama,64.3,0.6,81,63.7
AL-115,St. Clair County,Alabama,61.6,0.8,80,60.8
AL-117,Shelby County,Alabama,62.8,1.1,89,61.7
AL-119,Sumter County,Alabama,63.8,0,69,63.8
AL-121,Talladega County,Alabama,62.4,0.9,84,61.5
AL-123,Tallapoosa County,Alabama,62.7,0.9,85,61.8
AL-125,Tuscaloosa County,Alabama,62.8,0,66,62.8
AL-127,Walker County,Alabama,61.5,0.2,71,61.3
AL-129,Washington County,Alabama,66.4,1.1,92,65.3
AL-131,Wilcox County,Alabama,65.4,1,86,64.4
AL-133,Winston County,Alabama,59.4,-0.6,50,60
AZ-001,Apache County,Arizona,47.7,0.3,60,47.4
AZ-003,Cochise County,Arizona,59.9,1.6,92,58.3
AZ-005,Coconino County,Arizona,50.4,0.9,74,49.5
AZ-007,Gila County,Arizona,58.2,2.8,100,55.4
AZ-009,Graham County,Arizona,60.7,3.1,106,57.6
AZ-011,Greenlee County,Arizona,55.8,2.5,101,53.3
AZ-012,La Paz County,Arizona,70.4,2.6,99,67.8
AZ-013,Maricopa County,Arizona,68.7,2.4,93,66.3
AZ-015,Mohave County,Arizona,59.6,1.3,81,58.3
AZ-017,Navajo County,Arizona,49.7,0.7,67,49
AZ-019,Pima County,Arizona,66,2.3,96,63.7
AZ-021,Pinal County,Arizona,67.3,2.4,97,64.9
AZ-023,Santa Cruz County,Arizona,58.7,1.4,87,57.3
AZ-025,Yavapai County,Arizona,57.2,2.3,91,54.9
AZ-027,Yuma County,Arizona,70.8,2.5,97,68.3
AR-001,Arkansas County,Arkansas,61.9,-0.4,59,62.3
AR-003,Ashley County,Arkansas,62.9,-0.4,59,63.3
AR-005,Baxter County,Arkansas,58.2,0.9,79,57.3
AR-007,Benton County,Arkansas,57.7,0.3,75,57.4
AR-009,Boone County,Arkansas,57.3,0.5,72,56.8
AR-011,Bradley County,Arkansas,62.4,-0.4,60,62.8
AR-013,Calhoun County,Arkansas,61.7,-1.1,42,62.8
AR-015,Carroll County,Arkansas,57,0.2,70,56.8
AR-017,Chicot County,Arkansas,62.9,-0.7,47,63.6
AR-019,Clark County,Arkansas,60.7,-1.4,37,62.1
AR-021,Clay County,Arkansas,59.7,0.6,78,59.1
AR-023,Cleburne County,Arkansas,59.7,0.7,81,59
AR-025,Cleveland County,Arkansas,61.6,-0.8,48,62.4
AR-027,Columbia County,Arkansas,62,-1.2,43,63.2
AR-029,Conway County,Arkansas,60,-0.3,61,60.3
AR-031,Craighead County,Arkansas,60.2,0.5,73,59.7
AR-033,Crawford County,Arkansas,59.2,-0.2,64,59.4
AR-035,Crittenden County,Arkansas,61.7,0.3,73,61.4
AR-037,Cross County,Arkansas,61.4,0.4,78,61
AR-039,Dallas County,Arkansas,60.8,-1.5,32,62.3
AR-041,Desha County,Arkansas,62,-0.8,47,62.8
AR-043,Drew County,Arkansas,62.3,-0.5,55,62.8
AR-045,Faulkner County,Arkansas,60.5,-0.1,62,60.6
AR-047,Franklin County,Arkansas,58.9,-0.5,58,59.4
AR-049,Fulton County,Arkansas,58.7,1.7,89,57
AR-051,Garland County,Arkansas,60.4,-0.4,58,60.8
AR-053,Grant County,Arkansas,61.3,-0.9,47,62.2
AR-055,Greene County,Arkansas,59.9,0.6,78,59.3
AR-057,Hempstead County,Arkansas,61.3,-1.1,45,62.4
AR-059,Hot Spring County,Arkansas,60.9,-0.9,46,61.8
AR-061,Howard County,Arkansas,60,-1.1,43,61.1
AR-063,Independence County,Arkansas,59.4,0.4,73,59
AR-065,Izard County,Arkansas,58.4,0.7,79,57.7
AR-067,Jackson County,Arkansas,60,0.2,67,59.8
AR-069,Jefferson County,Arkansas,61.7,-0.6,57,62.3
AR-071,Johnson County,Arkansas,58.3,-0.4,59,58.7
AR-073,Lafayette County,Arkansas,62.6,-0.6,54,63.2
AR-075,Lawrence County,Arkansas,59.8,0.8,80,59
AR-077,Lee County,Arkansas,61.8,0.2,73,61.6
AR-079,Lincoln County,Arkansas,62,-0.5,54,62.5
AR-081,Little River County,Arkansas,62.1,-0.2,67,62.3
AR-083,Logan County,Arkansas,59.6,-0.6,58,60.2
AR-085,Lonoke County,Arkansas,61.2,-0.5,55,61.7
AR-087,Madison County,Arkansas,56.4,-0.1,67,56.5
AR-089,Marion County,Arkansas,57.9,0.7,77,57.2
AR-091,Miller County,Arkansas,63.3,0.1,73,63.2
AR-093,Mississippi County,Arkansas,60.4,0.1,68,60.3
AR-095,Monroe County,Arkansas,61.8,-0,72,61.8
AR-097,Montgomery County,Arkansas,59.2,-0.9,51,60.1
AR-099,Nevada County,Arkansas,61.1,-1.5,31,62.6
AR-101,Newton County,Arkansas,56.1,-0.3,61,56.4
AR-103,Ouachita County,Arkansas,60.9,-2.1,25,63
AR-105,Perry County,Arkansas,60.4,-0.4,60,60.8
AR-107,Phillips County,Arkansas,62,-0,70,62
AR-109,Pike County,Arkansas,59.8,-1.2,39,61
AR-111,Poinsett County,Arkansas,60.5,0.2,67,60.3
AR-113,Polk County,Arkansas,58.2,-1.1,45,59.3
AR-115,Pope County,Arkansas,58.8,-0.4,61,59.2
AR-117,Prairie County,Arkansas,61.4,-0.3,57,61.7
AR-119,Pulaski County,Arkansas,61.2,-0.4,58,61.6
AR-121,Randolph County,Arkansas,59.8,1.4,88,58.4
AR-123,St. Francis County,Arkansas,61.8,0.4,77,61.4
AR-125,Saline County,Arkansas,60.8,-0.5,59,61.3
AR-127,Scott County,Arkansas,59.1,-0.7,54,59.8
AR-129,Searcy County,Arkansas,56.8,-0.3,55,57.1
AR-131,Sebastian County,Arkansas,60.2,-0.2,62,60.4
AR-133,Sevier County,Arkansas,60.8,-0.7,49,61.5
AR-135,Sharp County,Arkansas,58.9,1.1,81,57.8
AR-137,Stone County,Arkansas,58,0.1,67,57.9
AR-139,Union County,Arkansas,62.5,-0.7,50,63.2
AR-141,Van Buren County,Arkansas,58.2,-0.2,64,58.4
AR-143,Washington County,Arkansas,57.4,0,72,57.4
AR-145,White County,Arkansas,60.8,0.4,75,60.4
AR-147,Woodruff County,Arkansas,61.1,0.2,70,60.9
AR-149,Yell County,Arkansas,59.9,-0.7,57,60.6
CA-001,Alameda County,California,56.3,1.1,85,55.2
CA-003,Alpine County,California,39.4,0.7,72,38.7
CA-005,Amador County,California,54.2,1,81,53.2
CA-007,Butte County,California,56.8,1.2,84,55.6
CA-009,Calaveras County,California,54.6,1.1,82,53.5
CA-011,Colusa County,California,58.5,1.2,82,57.3
CA-013,Contra Costa County,California,57.7,1,85,56.7
CA-015,Del Norte County,California,45.8,-1.2,40,47
CA-017,El Dorado County,California,49.4,0.7,76,48.7
