September 2023 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,1.41,-2.21,22,3.62
AL-003,Baldwin County,Alabama,2.34,-3.47,21,5.81
AL-005,Barbour County,Alabama,3.31,-0.53,77,3.84
AL-007,Bibb County,Alabama,1.25,-2.19,20,3.44
AL-009,Blount County,Alabama,1.19,-2.44,18,3.63
AL-011,Bullock County,Alabama,3.97,0.39,86,3.58
AL-013,Butler County,Alabama,2.54,-1.42,43,3.96
AL-015,Calhoun County,Alabama,2.17,-1.29,46,3.46
AL-017,Chambers County,Alabama,1.21,-2.21,22,3.42
AL-019,Cherokee County,Alabama,1.16,-2.27,19,3.43
AL-021,Chilton County,Alabama,1.07,-2.48,13,3.55
AL-023,Choctaw County,Alabama,2.76,-1.03,54,3.79
AL-025,Clarke County,Alabama,3.05,-0.82,61,3.87
AL-027,Clay County,Alabama,2.59,-1.06,51,3.65
AL-029,Cleburne County,Alabama,1.77,-1.67,30,3.44
AL-031,Coffee County,Alabama,3.73,-0.62,67,4.35
AL-033,Colbert County,Alabama,0.38,-2.88,4,3.26
AL-035,Conecuh County,Alabama,1.62,-2.65,22,4.27
AL-037,Coosa County,Alabama,2.04,-1.61,33,3.65
AL-039,Covington County,Alabama,2.15,-2.39,30,4.54
AL-041,Crenshaw County,Alabama,4.51,0.54,90,3.97
AL-043,Cullman County,Alabama,0.7,-2.93,8,3.63
AL-045,Dale County,Alabama,3.57,-0.73,67,4.3
AL-047,Dallas County,Alabama,0.73,-2.74,9,3.47
AL-049,DeKalb County,Alabama,0.84,-2.67,9,3.51
AL-051,Elmore County,Alabama,2.2,-1.5,41,3.7
AL-053,Escambia County,Alabama,1.46,-3.26,10,4.72
AL-055,Etowah County,Alabama,1.31,-2.29,22,3.6
AL-057,Fayette County,Alabama,1.21,-2.24,19,3.45
AL-059,Franklin County,Alabama,0.71,-2.63,10,3.34
AL-061,Geneva County,Alabama,1.91,-2.77,20,4.68
AL-063,Greene County,Alabama,3.31,0.11,73,3.2
AL-065,Hale County,Alabama,2.89,-0.35,65,3.24
AL-067,Henry County,Alabama,3.67,-0.4,82,4.07
